name	lon	lat	ele	lon_DEM	lat_DEM	ele_DEM	diff	mark
TAA_TN_VAL_NOANA_DIGA	11.839286	46.13872	1030	11.8388888888889	46.1388888888889	1056.28125	-26.28125	ok
TAA_TN_CIMA_CAVAION	10.715028	46.42302	2895	10.7144444444444	46.4233333333333	2871.203125	23.796875	ok
TAA_TN_PASSO_MENDOLA	11.189336	46.41918	1315	11.19	46.4188888888889	1337.75	-22.75	ok
TAA_TN_PASSO_COSTALUNGA	11.613615	46.40453	1750	11.6144444444444	46.4055555555556	1774.96875	-24.96875	ok
TAA_TN_PASSO_ROLLE	11.787124	46.29792	2012	11.7877777777778	46.2988888888889	1988.875	23.125	ok
TAA_TN_PASSO_VALLES	11.799791	46.33839	2032	11.7988888888889	46.3388888888889	2020.859375	11.140625	ok
TAA_TN_ROVERETO	11.043987	45.89632	203	11.0433333333333	45.8966666666667	207.71875	-4.71875	ok
TAA_TN_PRADALAGO_RIFUGIO_VIVIANI	10.813895	46.2497	2084	10.8144444444444	46.25	2088.34375	-4.34375	ok
TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER	10.889755	46.21772	2258	10.89	46.2166666666667	2276.578125	-18.578125	ok
TAA_TN_PINZOLO	10.757484	46.15651	760	10.7566666666667	46.1566666666667	765.515625	-5.515625	ok
TAA_TN_TREMALZO	10.684142	45.84166	1560	10.6833333333333	45.8411111111111	1553.03125	6.96875	ok
TAA_TN_PASSO_BROCON	11.663267	46.11668	1610	11.6633333333333	46.1166666666667	1608.75	1.25	ok
TAA_TN_MALE_BIVACCO_MARINELLI	10.860666	46.35628	2100	10.8611111111111	46.3566666666667	2106.46875	-6.46875	ok
TAA_TN_PASSO_TONALE	10.596825	46.26256	1875	10.5966666666667	46.2633333333333	1887.65625	-12.65625	ok
TAA_TN_VERMIGLIO_CAPANNA_PRESENA	10.578715	46.22882	2715	10.5788888888889	46.2277777777778	2732.53125	-17.53125	ok
TAA_TN_MONTE_BONDONE_VIOTE	11.054869	46.01365	1490	11.0544444444444	46.0144444444444	1512.234375	-22.234375	ok
TAA_TN_PASSO_SOMMO	11.206083	45.91865	1360	11.2055555555556	45.9188888888889	1354.3125	5.6875	ok
TAA_TN_PEIO_CROZZI_TAVIELA	10.631957	46.38418	2960	10.6322222222222	46.3833333333333	2911.515625	48.484375	ok
TAA_TN_DAONE_MALGA_BISSINA	10.514122	46.0529	1785	10.5144444444444	46.0522222222222	1764.390625	20.609375	ok
TAA_TN_ROVERETO_MALGA_ZUGNA	11.058163	45.80756	1620	11.0588888888889	45.8077777777778	1612.453125	7.546875	ok
TAA_TN_DOS_DEL_SABION_MONTE_GRUAL	10.811813	46.17225	1894	10.8122222222222	46.1722222222222	1895.59375	-1.59375	ok
TAA_TN_PASSO_MANGHEN	11.439944	46.17492	2035	11.4388888888889	46.1744444444444	2017.734375	17.265625	ok
TAA_TN_CANAZEI_CIAMPAC	11.769081	46.44599	2150	11.77	46.4455555555556	2152.5	-2.5	ok
TAA_TN_MARMOLADA_SAS_DEL_MUL	11.880813	46.44361	2606	11.8811111111111	46.4433333333333	2613.09375	-7.09375	ok
TAA_TN_PAGANELLA_MALGA_TERLAGO	11.021504	46.14301	1790	11.0211111111111	46.1433333333333	1776.484375	13.515625	ok
TAA_TN_GRIGNO_BARRICATA	11.590219	45.97991	1345	11.59	45.9788888888889	1369.625	-24.625	ok
TAA_TN_VAL_DAMBIEZ	10.881405	46.13343	1888	10.8811111111111	46.1344444444444	1921.109375	-33.109375	ok
TAA_TN_RUMO_LANZA	11.008531	46.45391	1100	11.0077777777778	46.4544444444444	1111.21875	-11.21875	ok
TAA_TN_TONADICO_CASTELPIETRA	11.865668	46.19893	1045	11.8655555555556	46.1988888888889	1044.578125	0.421875	ok
TAA_TN_CAORIA	11.683911	46.19202	803	11.6833333333333	46.1922222222222	810.875	-7.875	ok
TAA_TN_PASSO_PIAN_DELLE_FUGAZZE	11.174829	45.759	1170	11.1744444444444	45.7588888888889	1184.453125	-14.453125	ok
TAA_TN_LAGO_DI_CALAITA	11.793483	46.20062	1605	11.7944444444444	46.2011111111111	1619.015625	-14.015625	ok
TAA_TN_VAL_GENOVA_MALGA_CARET	10.634818	46.18142	1418	10.6344444444444	46.1811111111111	1420.28125	-2.28125	ok
TAA_TN_PINZOLO_MALGA_ZELEDRIA	10.834362	46.24488	1775	10.8344444444444	46.2455555555556	1783.703125	-8.703125	ok
TAA_TN_SAN_MARTINO_DI_CASTROZZA	11.796306	46.26162	1470	11.7966666666667	46.2611111111111	1473.5625	-3.5625	ok
CH_IYPLI	11.9	46.5667	2050	11.9011111111111	46.5677777777778	1823.859375	226.140625	NO
CH_SLFSI2	8.9833	46.4667	2450	8.98333333333333	46.4677777777778	2439.40625	10.59375	ok
CH_ABO	7.5667	46.5	1321	7.56777777777778	46.4988888888889	1339.4375	-18.4375	ok
CH_SLFALB	9.8333	46.5833	2322	9.83222222222222	46.5833333333333	2350.40625	-28.40625	ok
CH_SLFAL1	7	46.4833	1716	7.00111111111111	46.4833333333333	1402.71875	313.28125	NO
CH_SLFAM2	9.15	47.1667	1610	9.15	47.1677777777778	1474.296875	135.703125	NO
CH_SLFAN2	7.5333	46.1833	2630	7.53222222222222	46.1833333333333	2579.34375	50.65625	ok
CH_SLFAN3	7.65	46.1167	2590	7.65	46.1166666666667	2605.21875	-15.21875	ok
CH_SLFVD2	7.3667	46.3167	2390	7.36777777777778	46.3166666666667	2121.046875	268.953125	NO
CH_SLFAR3	7.5667	46.0833	2610	7.56777777777778	46.0833333333333	2702.640625	-92.640625	ok
CH_SLFAR2	7.45	46.0333	2850	7.45	46.0322222222222	3006.21875	-156.21875	NO
CH_SLFBD3	8.5167	46.4833	2100	8.51666666666667	46.4833333333333	2399.390625	-299.390625	NO
CH_SLFBD2	8.5167	46.5333	2420	8.51666666666667	46.5322222222222	2432.171875	-12.171875	ok
CH_SLFBEL	7.9667	46.4	2556	7.96777777777778	46.3988888888889	2836.921875	-280.921875	NO
CH_SLFBE2	10.0333	46.4167	2450	10.0322222222222	46.4166666666667	2469.65625	-19.65625	ok
CH_SLFBE3	9.9167	46.4333	2620	9.91666666666667	46.4322222222222	2582.84375	37.15625	ok
CH_SLFBR2	9.8333	46.5333	2510	9.83222222222222	46.5322222222222	2780.4375	-270.4375	NO
CH_BLA	7.8167	46.4167	1538	7.81666666666667	46.4166666666667	1569.765625	-31.765625	ok
CH_SLFBO2	8.4667	46.3333	2310	8.46777777777778	46.3322222222222	2325.25	-15.25	ok
CH_SLFTM2	9.0167	46.7833	2195	9.01666666666667	46.7833333333333	2336.859375	-141.859375	NO
CH_SLFRO2	8	46.7667	1870	8.00111111111111	46.7677777777778	1233.34375	636.65625	NO
CH_FRE	6.5833	46.8333	1205	6.58333333333333	46.8322222222222	683.359375	521.640625	NO
CH_SLFCA2	8.7167	46.4667	2220	8.71666666666667	46.4677777777778	2205.4375	14.5625	ok
CH_CHA	7.05	47.1333	1594	7.05	47.1322222222222	1499.109375	94.890625	ok
CH_SLFCH2	7.1667	46.3833	2220	7.16777777777778	46.3833333333333	2049.5625	170.4375	NO
CH_SLFCSL	7.0333	47.1167	1455	7.03222222222222	47.1166666666667	1463.109375	-8.109375	ok
CH_SLFCON	7.2833	46.2833	2230	7.28333333333333	46.2833333333333	2113.609375	116.390625	NO
CH_PERCOR	9.8167	46.4333	2666	9.81666666666667	46.4322222222222	2480	186	NO
CH_SLFCMA	9.1833	46.85	2330	9.18333333333333	46.85	2310.59375	19.40625	ok
CH_DAV	9.85	46.8167	1594	9.85	46.8166666666667	1561.5	32.5	ok
CH_SLFDA2	9.8167	46.7	2560	9.81666666666667	46.7011111111111	2646.984375	-86.984375	ok
CH_SLFDA3	9.7667	46.7833	2450	9.76777777777778	46.7833333333333	2386.765625	63.234375	ok
CH_SLFPAR	9.8	46.85	2290	9.80111111111111	46.85	2231.78125	58.21875	ok
CH_SLFSLF	9.85	46.8167	1560	9.85	46.8166666666667	1561.5	-1.5	ok
CH_SLFWFJ	9.8167	46.8333	2540	9.81666666666667	46.8322222222222	2394.109375	145.890625	NO
CH_IYDEO	11.55	46.3667	2125	11.55	46.3677777777778	2341.953125	-216.953125	NO
CH_DIS	8.85	46.7	1197	8.85	46.7011111111111	1165.90625	31.09375	ok
CH_SLFLUM	8.8667	46.7333	2388	8.86777777777778	46.7322222222222	2041.46875	346.53125	NO
CH_SLFDT2	8.8667	46.55	2060	8.86777777777778	46.55	2169.8125	-109.8125	NO
