name lon lat ele mark
TAA_TN_VAL_NOANA_DIGA 11.839286 46.13872 1030 ok
TAA_TN_CIMA_CAVAION 10.715028 46.42302 2895 ok
TAA_TN_PASSO_MENDOLA 11.189336 46.41918 1315 ok
TAA_TN_PASSO_COSTALUNGA 11.613615 46.40453 1750 ok
TAA_TN_PASSO_ROLLE 11.787124 46.29792 2012 ok
TAA_TN_PASSO_VALLES 11.799791 46.33839 2032 ok
TAA_TN_ROVERETO 11.043987 45.89632 203 ok
TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 10.813895 46.2497 2084 ok
TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 10.889755 46.21772 2258 ok
TAA_TN_PINZOLO 10.757484 46.15651 760 ok
TAA_TN_TREMALZO 10.684142 45.84166 1560 ok
TAA_TN_PASSO_BROCON 11.663267 46.11668 1610 ok
TAA_TN_MALE_BIVACCO_MARINELLI 10.860666 46.35628 2100 ok
TAA_TN_PASSO_TONALE 10.596825 46.26256 1875 ok
TAA_TN_VERMIGLIO_CAPANNA_PRESENA 10.578715 46.22882 2715 ok
TAA_TN_MONTE_BONDONE_VIOTE 11.054869 46.01365 1490 ok
TAA_TN_PASSO_SOMMO 11.206083 45.91865 1360 ok
TAA_TN_PEIO_CROZZI_TAVIELA 10.631957 46.38418 2960 ok
TAA_TN_DAONE_MALGA_BISSINA 10.514122 46.0529 1785 ok
TAA_TN_ROVERETO_MALGA_ZUGNA 11.058163 45.80756 1620 ok
TAA_TN_DOS_DEL_SABION_MONTE_GRUAL 10.811813 46.17225 1894 ok
TAA_TN_PASSO_MANGHEN 11.439944 46.17492 2035 ok
TAA_TN_CANAZEI_CIAMPAC 11.769081 46.44599 2150 ok
TAA_TN_MARMOLADA_SAS_DEL_MUL 11.880813 46.44361 2606 ok
TAA_TN_PAGANELLA_MALGA_TERLAGO 11.021504 46.14301 1790 ok
TAA_TN_GRIGNO_BARRICATA 11.590219 45.97991 1345 ok
TAA_TN_VAL_DAMBIEZ 10.881405 46.13343 1888 ok
TAA_TN_RUMO_LANZA 11.008531 46.45391 1100 ok
TAA_TN_TONADICO_CASTELPIETRA 11.865668 46.19893 1045 ok
TAA_TN_CAORIA 11.683911 46.19202 803 ok
TAA_TN_PASSO_PIAN_DELLE_FUGAZZE 11.174829 45.759 1170 ok
TAA_TN_LAGO_DI_CALAITA 11.793483 46.20062 1605 ok
TAA_TN_VAL_GENOVA_MALGA_CARET 10.634818 46.18142 1418 ok
TAA_TN_PINZOLO_MALGA_ZELEDRIA 10.834362 46.24488 1775 ok
TAA_TN_SAN_MARTINO_DI_CASTROZZA 11.796306 46.26162 1470 ok
CH_IYPLI 11.9 46.5667 2050 NO
CH_SLFSI2 8.9833 46.4667 2450 ok
CH_ABO 7.5667 46.5 1321 ok
CH_SLFALB 9.8333 46.5833 2322 ok
CH_SLFAL1 7 46.4833 1716 NO
CH_SLFAM2 9.15 47.1667 1610 NO
CH_SLFAN2 7.5333 46.1833 2630 NO
CH_SLFAN3 7.65 46.1167 2590 ok
CH_SLFVD2 7.3667 46.3167 2390 NO
CH_SLFAR3 7.5667 46.0833 2610 NO
CH_SLFAR2 7.45 46.0333 2850 NO
CH_SLFBD3 8.5167 46.4833 2100 NO
CH_SLFBD2 8.5167 46.5333 2420 ok
CH_SLFBEL 7.9667 46.4 2556 NO
CH_SLFBE2 10.0333 46.4167 2450 ok
CH_SLFBE3 9.9167 46.4333 2620 ok
CH_SLFBR2 9.8333 46.5333 2510 NO
CH_BLA 7.8167 46.4167 1538 ok
CH_SLFBO2 8.4667 46.3333 2310 ok
CH_SLFTM2 9.0167 46.7833 2195 NO
CH_SLFRO2 8 46.7667 1870 NO
CH_FRE 6.5833 46.8333 1205 NO
CH_SLFCA2 8.7167 46.4667 2220 ok
CH_CHA 7.05 47.1333 1594 NO
CH_SLFCH2 7.1667 46.3833 2220 NO
CH_SLFCSL 7.0333 47.1167 1455 ok
CH_SLFCON 7.2833 46.2833 2230 NO
CH_PERCOR 9.8167 46.4333 2666 NO
CH_SLFCMA 9.1833 46.85 2330 ok
CH_DAV 9.85 46.8167 1594 ok
CH_SLFDA2 9.8167 46.7 2560 NO
CH_SLFDA3 9.7667 46.7833 2450 NO
CH_SLFPAR 9.8 46.85 2290 NO
CH_SLFSLF 9.85 46.8167 1560 ok
CH_SLFWFJ 9.8167 46.8333 2540 NO
CH_IYDEO 11.55 46.3667 2125 NO
CH_DIS 8.85 46.7 1197 ok
CH_SLFLUM 8.8667 46.7333 2388 NO
CH_SLFDT2 8.8667 46.55 2060 NO
CH_SLFEGH 8.0833 46.4167 2495 NO
CH_SLFEL2 9.7167 46.5833 2725 NO
CH_SLFEM2 9.1333 46.9333 2050 ok
CH_ENG 8.4167 46.8167 1035 ok
CH_DLFEB 8 47.8667 1490 NO
CH_SLFFN2 6.9667 46.1 2240 ok
CH_SLFFLU 9.95 46.75 2390 ok
CH_SLFFRA 8.85 46.3333 2100 NO
CH_SLFES2 7.6333 46.5333 2140 NO
CH_SLFOTT 7.5667 46.5333 2020 NO
CH_SLFFU2 7.0833 46.2 2610 NO
CH_MFOFKP 8.4167 46.5833 2425 NO
CH_SLFFUS 8.6167 46.4333 2390 ok
CH_SLFFA2 7.5 46.5167 1970 ok
CH_SLFGAD 8.4 46.75 2060 NO
CH_PERGEM 8.6167 46.6 2865 NO
CH_SLFGL2 9.0333 47 1630 NO
CH_SLFGO2 8.2333 46.4167 2450 NO
