name	lon	lat	ele	ele_DEM
CH_IYPLI	11.9	46.5667	2050	1819
CH_SLFAL1	7	46.4833	1716	1395
CH_SLFAM2	9.15	47.1667	1610	1434
CH_SLFVD2	7.3667	46.3167	2390	2169
CH_SLFAR2	7.45	46.0333	2850	3104
CH_SLFBD3	8.5167	46.4833	2100	2414
CH_SLFBEL	7.9667	46.4	2556	2883
CH_SLFBR2	9.8333	46.5333	2510	2675
CH_SLFTM2	9.0167	46.7833	2195	2339
CH_SLFRO2	8	46.7667	1870	1158
CH_FRE	6.5833	46.8333	1205	755
CH_CHA	7.05	47.1333	1594	1476
CH_SLFCH2	7.1667	46.3833	2220	2067
CH_SLFCON	7.2833	46.2833	2230	2116
CH_PERCOR	9.8167	46.4333	2666	2453
CH_SLFWFJ	9.8167	46.8333	2540	2381
CH_IYDEO	11.55	46.3667	2125	2295
CH_SLFLUM	8.8667	46.7333	2388	2091
CH_SLFDT2	8.8667	46.55	2060	2171
CH_SLFEGH	8.0833	46.4167	2495	2775
CH_DLFEB	8	47.8667	1490	1318
CH_SLFOTT	7.5667	46.5333	2020	1817
CH_SLFFU2	7.0833	46.2	2610	2792
CH_MFOFKP	8.4167	46.5833	2425	2635
CH_SLFGAD	8.4	46.75	2060	1713
CH_PERGEM	8.6167	46.6	2865	2664
CH_SLFGL2	9.0333	47	1630	1788
CH_SLFGO2	8.2333	46.4167	2450	2571
CH_SLFGO3	8.2333	46.4833	2430	1966
CH_SLFGOR	7.7833	45.9833	2950	3107
CH_SLFGR2	6.7833	46.35	1984	1860
CH_IYGSP	12.2167	46.85	2152	2293
CH_IYGSR	12.2	46.85	2747	2489
CH_SLFEN2	9.1833	47	2162	1746
CH_SLFGU2	8.2833	46.6833	2110	1877
CH_GUE	8.6167	46.65	2286	2182
CH_SLFHT2	9.2	46.55	2150	2383
CH_SLFHT3	9.35	46.5333	2200	2317
CH_HOE	8.9333	47.3667	1132	831
CH_SLFJU2	9.7	46.4833	2430	2618
CH_SLFFIS	7.6667	46.4667	2160	1422
CH_SLFKL3	9.9333	46.8333	2310	2444
CH_SLFKL2	9.8667	46.9167	2140	2297
CH_DOL	6.1	46.4167	1669	1561
CH_SLFFO2	7.0333	45.9833	2942	3455
CH_SLFGA2	7.7667	46.4333	2717	2833
CH_SLFATT	7.2667	46.1	2545	2664
