station year duration start
HSD_TAA_TN_VAL_NOANA_DIGA 2013 52 137
HSD_TAA_TN_VAL_NOANA_DIGA 2014 37 139
HSD_TAA_TN_VAL_NOANA_DIGA 2015 7 95
HSD_TAA_TN_VAL_NOANA_DIGA 2016 37 162
HSD_TAA_TN_VAL_NOANA_DIGA 2017 6 155
HSD_TAA_TN_VAL_NOANA_DIGA 2018 16 116
HSD_TAA_TN_VAL_NOANA_DIGA 2019 13 154
HSD_TAA_TN_VAL_NOANA_DIGA 2020 14 104
HSD_TAA_TN_VAL_NOANA_DIGA 2021 36 122
HSD_TAA_TN_VAL_NOANA_DIGA 2022 22 87
HSD_TAA_TN_VAL_NOANA_DIGA 2023 12 103
HSD_TAA_TN_VAL_NOANA_DIGA 2024 42 92
HSD_TAA_TN_CIMA_CAVAION 2019 186 65
HSD_TAA_TN_CIMA_CAVAION 2020 181 117
HSD_TAA_TN_CIMA_CAVAION 2021 257 33
HSD_TAA_TN_CIMA_CAVAION 2022 197 63
HSD_TAA_TN_CIMA_CAVAION 2023 222 65
HSD_TAA_TN_CIMA_CAVAION 2024 176 79
HSD_TAA_TN_PASSO_MENDOLA 2013 13 200
HSD_TAA_TN_PASSO_MENDOLA 2014 24 132
HSD_TAA_TN_PASSO_MENDOLA 2015 7 146
HSD_TAA_TN_PASSO_MENDOLA 2016 32 162
HSD_TAA_TN_PASSO_MENDOLA 2017 7 156
HSD_TAA_TN_PASSO_MENDOLA 2018 29 118
HSD_TAA_TN_PASSO_MENDOLA 2019 7 154
HSD_TAA_TN_PASSO_MENDOLA 2020 13 104
HSD_TAA_TN_PASSO_MENDOLA 2021 43 96
HSD_TAA_TN_PASSO_MENDOLA 2022 6 88
HSD_TAA_TN_PASSO_MENDOLA 2023 12 107
HSD_TAA_TN_PASSO_MENDOLA 2024 15 130
HSD_TAA_TN_PASSO_COSTALUNGA 2013 142 90
HSD_TAA_TN_PASSO_COSTALUNGA 2014 121 116
HSD_TAA_TN_PASSO_COSTALUNGA 2015 35 138
HSD_TAA_TN_PASSO_COSTALUNGA 2016 49 163
HSD_TAA_TN_PASSO_COSTALUNGA 2017 13 156
HSD_TAA_TN_PASSO_COSTALUNGA 2018 140 91
HSD_TAA_TN_PASSO_COSTALUNGA 2019 37 138
HSD_TAA_TN_PASSO_COSTALUNGA 2020 85 67
HSD_TAA_TN_PASSO_COSTALUNGA 2021 108 96
HSD_TAA_TN_PASSO_COSTALUNGA 2022 26 87
HSD_TAA_TN_PASSO_COSTALUNGA 2023 83 90
HSD_TAA_TN_PASSO_COSTALUNGA 2024 44 159
HSD_TAA_TN_PASSO_ROLLE 2012 108 104
HSD_TAA_TN_PASSO_ROLLE 2013 126 128
HSD_TAA_TN_PASSO_ROLLE 2014 197 76
HSD_TAA_TN_PASSO_ROLLE 2015 108 136
HSD_TAA_TN_PASSO_ROLLE 2016 118 124
HSD_TAA_TN_PASSO_ROLLE 2017 57 156
HSD_TAA_TN_PASSO_ROLLE 2018 186 67
HSD_TAA_TN_PASSO_ROLLE 2019 184 81
HSD_TAA_TN_PASSO_ROLLE 2020 176 67
HSD_TAA_TN_PASSO_ROLLE 2021 102 161
HSD_TAA_TN_PASSO_ROLLE 2022 183 62
HSD_TAA_TN_PASSO_ROLLE 2023 159 83
HSD_TAA_TN_PASSO_ROLLE 2024 189 63
HSD_TAA_TN_PASSO_VALLES 2013 187 90
HSD_TAA_TN_PASSO_VALLES 2014 184 76
HSD_TAA_TN_PASSO_VALLES 2015 108 135
HSD_TAA_TN_PASSO_VALLES 2016 85 158
HSD_TAA_TN_PASSO_VALLES 2017 53 151
HSD_TAA_TN_PASSO_VALLES 2018 172 67
HSD_TAA_TN_PASSO_VALLES 2019 140 135
HSD_TAA_TN_PASSO_VALLES 2020 165 68
HSD_TAA_TN_PASSO_VALLES 2021 172 100
HSD_TAA_TN_PASSO_VALLES 2022 91 135
HSD_TAA_TN_PASSO_VALLES 2023 132 83
HSD_TAA_TN_PASSO_VALLES 2024 184 64
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2013 202 78
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2014 157 113
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2015 114 127
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2016 144 123
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2017 71 151
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2018 176 69
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2019 84 181
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2020 157 64
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2021 123 96
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2022 66 118
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2023 182 83
HSD_TAA_TN_PRADALAGO_RIFUGIO_VIVIANI 2024 199 62
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2012 214 54
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2013 230 58
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2014 213 70
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2015 204 69
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2016 110 146
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2017 157 67
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2018 182 67
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2019 220 61
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2020 196 64
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2021 195 92
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2022 185 61
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2023 191 82
HSD_TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER 2024 212 60
HSD_TAA_TN_PINZOLO 2012 15 150
HSD_TAA_TN_PINZOLO 2013 67 105
HSD_TAA_TN_PINZOLO 2014 78 115
HSD_TAA_TN_PINZOLO 2015 7 152
HSD_TAA_TN_PINZOLO 2016 16 161
HSD_TAA_TN_TREMALZO 2013 158 88
HSD_TAA_TN_TREMALZO 2014 57 150
HSD_TAA_TN_TREMALZO 2015 81 139
HSD_TAA_TN_TREMALZO 2016 69 155
HSD_TAA_TN_TREMALZO 2017 57 148
HSD_TAA_TN_TREMALZO 2018 92 135
HSD_TAA_TN_TREMALZO 2019 54 138
HSD_TAA_TN_TREMALZO 2020 78 67
HSD_TAA_TN_TREMALZO 2021 97 93
HSD_TAA_TN_TREMALZO 2022 41 88
HSD_TAA_TN_TREMALZO 2023 115 83
HSD_TAA_TN_TREMALZO 2024 106 113
HSD_TAA_TN_PASSO_BROCON 2014 150 106
HSD_TAA_TN_PASSO_BROCON 2015 72 139
HSD_TAA_TN_PASSO_BROCON 2016 57 162
HSD_TAA_TN_PASSO_BROCON 2017 15 157
HSD_TAA_TN_PASSO_BROCON 2018 137 91
HSD_TAA_TN_PASSO_BROCON 2019 46 138
HSD_TAA_TN_PASSO_BROCON 2020 58 68
HSD_TAA_TN_PASSO_BROCON 2021 105 98
HSD_TAA_TN_PASSO_BROCON 2022 27 87
HSD_TAA_TN_PASSO_BROCON 2023 95 83
HSD_TAA_TN_PASSO_BROCON 2024 28 123
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2014 193 76
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2015 94 136
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2016 110 124
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2017 47 164
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2018 145 105
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2019 41 84
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2020 172 61
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2021 185 93
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2022 53 64
HSD_TAA_TN_MALE_BIVACCO_MARINELLI 2023 121 83
