station year duration start
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2018 199 70
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2019 236 64
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2020 237 61
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2021 199 89
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2022 139 122
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2023 225 65
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2024 258 53
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2001 190 64
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2002 101 111
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2003 154 63
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2004 206 50
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2005 119 99
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2006 166 88
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2007 150 78
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2008 174 74
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2009 191 58
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2010 167 83
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2011 154 70
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2012 113 97
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2013 165 112
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2014 175 62
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2015 118 100
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2016 126 114
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2017 157 66
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2018 183 66
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2019 148 75
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2020 166 62
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2021 132 91
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2022 124 81
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2023 179 75
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2003 192 64
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2004 218 50
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2005 177 80
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2006 194 86
