station year los
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2018 230
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2019 251
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2020 273
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2021 271
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2022 224
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2023 270
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2024 274
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2001 211
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2002 169
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2003 187
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2004 214
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2005 175
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2006 166
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2007 166
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2008 201
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2009 200
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2010 191
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2011 166
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2012 161
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2013 218
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2014 182
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2015 160
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2016 189
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2017 185
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2018 201
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2019 177
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2020 188
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2021 176
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2022 173
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2023 186
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2003 208
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2004 225
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2005 198
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2006 195
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2007 183
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2008 201
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2009 212
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2010 217
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2011 183
