name year mark los_MOD los_STA ele
IT_BZ_Alliz_Maso_Strimo_Osservatore 2002 OK 25 61 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2003 OK 35 115 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2004 OK 56 155 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2005 OK 9 129 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2006 OK 54 139 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2007 OK 14 96 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2008 OK 32 154 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2010 OK 45 139 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2011 OK 51 142 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2012 OK 19 121 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2013 OK 27 148 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2015 OK 45 91 1754
IT_BZ_Alliz_Maso_Strimo_Osservatore 2016 OK 0 79 1754
IT_BZ_Anterivo_Osservatore 2001 OK 29 125 1209
IT_BZ_Anterivo_Osservatore 2002 OK 21 62 1209
IT_BZ_Anterivo_Osservatore 2003 OK 5 84 1209
IT_BZ_Anterivo_Osservatore 2005 OK 27 105 1209
IT_BZ_Anterivo_Osservatore 2012 OK 38 82 1209
IT_BZ_Anterivo_Osservatore 2015 OK 18 70 1209
IT_BZ_Anterselva_di_Mezzo_Osservatore 2002 OK 53 110 1236
IT_BZ_Braies_Ferrara_Osservatore 2002 OK 24 92 1221
IT_BZ_Casere_di_Fuori_Osservatore 2002 OK 30 118 1705
IT_BZ_Casere_di_Fuori_Osservatore 2003 OK 60 150 1705
IT_BZ_Casere_di_Fuori_Osservatore 2005 OK 43 131 1705
IT_BZ_Casere_di_Fuori_Osservatore 2007 OK 16 130 1705
IT_BZ_Casere_di_Fuori_Osservatore 2008 OK 32 166 1705
IT_BZ_Casere_di_Fuori_Osservatore 2015 OK 24 64 1705
IT_BZ_Casere_di_Fuori_Osservatore 2016 OK 46 94 1705
IT_BZ_Casere_di_Fuori_Osservatore 2017 OK 0 77 1705
IT_BZ_Corona_Cortaccia_Osservatore 2004 OK 9 72 890
IT_BZ_Corona_Cortaccia_Osservatore 2005 OK 0 73 890
IT_BZ_Corona_Cortaccia_Osservatore 2006 OK 15 95 890
IT_BZ_Corona_Cortaccia_Osservatore 2009 OK 30 107 890
IT_BZ_Corona_Cortaccia_Osservatore 2010 OK 4 68 890
IT_BZ_Corona_Cortaccia_Osservatore 2011 OK 0 55 890
IT_BZ_Corona_Cortaccia_Osservatore 2013 OK 13 89 890
IT_BZ_Corona_Cortaccia_Osservatore 2018 OK 14 87 890
IT_BZ_Diga_di_Vizze_Osservatore 2007 OK 48 98 1365
IT_BZ_Favogna_di_sotto_Osservatore 2001 NO 27 122 1060
IT_BZ_Favogna_di_sotto_Osservatore 2002 NO 8 93 1060
IT_BZ_Favogna_di_sotto_Osservatore 2003 NO 13 54 1060
IT_BZ_Favogna_di_sotto_Osservatore 2004 NO 53 113 1060
IT_BZ_Favogna_di_sotto_Osservatore 2005 NO 25 111 1060
IT_BZ_Favogna_di_sotto_Osservatore 2010 NO 45 120 1060
IT_BZ_Favogna_di_sotto_Osservatore 2011 NO 34 127 1060
IT_BZ_Favogna_di_sotto_Osservatore 2012 NO 27 78 1060
IT_BZ_Favogna_di_sotto_Osservatore 2015 NO 13 52 1060
IT_BZ_Favogna_di_sotto_Osservatore 2016 NO 24 73 1060
IT_BZ_Favogna_di_sotto_Osservatore 2018 NO 40 140 1060
IT_BZ_Fie_allo_Sciliar_Osservatore 2006 OK 37 114 835
IT_BZ_Fie_allo_Sciliar_Osservatore 2018 OK 26 54 835
IT_BZ_Fundres_Osservatore 2002 OK 27 67 1150
IT_BZ_Fundres_Osservatore 2003 OK 32 82 1150
