DATE,VALUE,,,,,,,
2018-12-31T00:00:00CET,30.01,,,Day,Max,Min,Mean,Valori serie
2018-12-30T23:50:00CET,29.97,,,2018-12-01,15.24,13.97,14.854,15
2018-12-30T23:40:00CET,30.05,,,2018-12-02,15.3,14.46,14.911,15
2018-12-30T23:30:00CET,30.09,,,2018-12-03,15.09,14.07,14.644,14
2018-12-30T23:20:00CET,29.97,,,2018-12-04,15.46,14.14,14.741,15
2018-12-30T23:10:00CET,29.9,,,2018-12-05,15.18,14.05,14.695,15
2018-12-30T23:00:00CET,29.87,,,2018-12-06,20.45,14.09,17.927,19
2018-12-30T22:50:00CET,29.98,,,2018-12-07,19.92,17.77,18.712,18
2018-12-30T22:40:00CET,30.08,,,2018-12-08,25.21,18.23,22.729,23
2018-12-30T22:30:00CET,30.05,,,2018-12-09,29.69,22.43,25.294,27
2018-12-30T22:20:00CET,29.99,,,2018-12-10,31.99,28.24,29.533,29
2018-12-30T22:10:00CET,29.87,,,2018-12-11,29.05,27.34,27.980,27
2018-12-30T22:00:00CET,29.91,,,2018-12-12,27.89,26.77,27.228,27
2018-12-30T21:50:00CET,29.76,,,2018-12-13,30.06,25.79,28.142,30
2018-12-30T21:40:00CET,29.94,,,2018-12-14,29.85,27.26,28.367,28
2018-12-30T21:30:00CET,30.02,,,2018-12-15,28.52,27.27,27.903,28
2018-12-30T21:20:00CET,30.14,,,2018-12-16,28.28,26.68,27.546,28
2018-12-30T21:10:00CET,30.09,,,2018-12-17,28.3,27.12,27.697,28
2018-12-30T21:00:00CET,30.12,,,2018-12-18,28.16,26.4,27.339,27
2018-12-30T20:50:00CET,30.06,,,2018-12-19,27.95,26.26,27.307,28
2018-12-30T20:40:00CET,30.15,,,2018-12-20,28.71,25.49,28.191,28
2018-12-30T20:30:00CET,30.24,,,2018-12-21,28.65,27.06,27.957,28
2018-12-30T20:20:00CET,30.2,,,2018-12-22,29.19,27.21,28.249,29
2018-12-30T20:10:00CET,30.14,,,2018-12-23,29.16,27.66,28.573,29
2018-12-30T20:00:00CET,30.17,,,2018-12-24,30.13,24.93,29.035,30
2018-12-30T19:50:00CET,30.34,,,2018-12-25,30.1,28.84,29.445,29
2018-12-30T19:40:00CET,30.17,,,2018-12-26,29.82,28.71,29.410,29
2018-12-30T19:30:00CET,30.35,,,2018-12-27,29.86,28.66,29.307,29
2018-12-30T19:20:00CET,30.21,,,2018-12-28,29.77,28.69,29.360,29
2018-12-30T19:10:00CET,30.1,,,2018-12-29,29.94,28.88,29.419,29
2018-12-30T19:00:00CET,30.19,,,2018-12-30,30.49,29.09,29.867,30
2018-12-30T18:50:00CET,30.13,,,,,,,
2018-12-30T18:40:00CET,30.06,,,,,,,
2018-12-30T18:30:00CET,30.08,,,,,,,
2018-12-30T18:20:00CET,30.19,,,,,,,
2018-12-30T18:10:00CET,30.16,,,,,,,
2018-12-30T18:00:00CET,30.09,,,,,,,
2018-12-30T17:50:00CET,30.24,,,,,,,
2018-12-30T17:40:00CET,30.14,,,,,,,
2018-12-30T17:30:00CET,30.1,,,,,,,
2018-12-30T17:20:00CET,30.09,,,,,,,
2018-12-30T17:10:00CET,30.13,,,,,,,
2018-12-30T17:00:00CET,30.12,,,,,,,
2018-12-30T16:50:00CET,30.05,,,,,,,
2018-12-30T16:40:00CET,30.15,,,,,,,
2018-12-30T16:30:00CET,30.12,,,,,,,
2018-12-30T16:20:00CET,30.01,,,,,,,
2018-12-30T16:10:00CET,30.1,,,,,,,
2018-12-30T16:00:00CET,29.95,,,,,,,
2018-12-30T15:50:00CET,29.97,,,,,,,
2018-12-30T15:40:00CET,29.96,,,,,,,
2018-12-30T15:30:00CET,30.06,,,,,,,
2018-12-30T15:20:00CET,30,,,,,,,
2018-12-30T15:10:00CET,30.11,,,,,,,
2018-12-30T15:00:00CET,30.05,,,,,,,
2018-12-30T14:50:00CET,30.02,,,,,,,
2018-12-30T14:40:00CET,30,,,,,,,
2018-12-30T14:30:00CET,29.96,,,,,,,
2018-12-30T14:20:00CET,29.83,,,,,,,
2018-12-30T14:10:00CET,29.79,,,,,,,
2018-12-30T14:00:00CET,29.99,,,,,,,
2018-12-30T13:50:00CET,29.88,,,,,,,
2018-12-30T13:40:00CET,29.78,,,,,,,
2018-12-30T13:30:00CET,29.87,,,,,,,
2018-12-30T13:20:00CET,30.05,,,,,,,
2018-12-30T13:10:00CET,29.88,,,,,,,
2018-12-30T13:00:00CET,30.34,,,,,,,
2018-12-30T12:50:00CET,30.49,,,,,,,
2018-12-30T12:40:00CET,29.96,,,,,,,
2018-12-30T12:30:00CET,29.77,,,,,,,
2018-12-30T12:20:00CET,29.6,,,,,,,
2018-12-30T12:10:00CET,29.42,,,,,,,
2018-12-30T12:00:00CET,29.28,,,,,,,
2018-12-30T11:50:00CET,29.31,,,,,,,
2018-12-30T11:40:00CET,29.3,,,,,,,
2018-12-30T11:30:00CET,29.23,,,,,,,
2018-12-30T11:20:00CET,29.39,,,,,,,
2018-12-30T11:10:00CET,29.54,,,,,,,
2018-12-30T11:00:00CET,29.68,,,,,,,
2018-12-30T10:50:00CET,29.76,,,,,,,
2018-12-30T10:40:00CET,29.75,,,,,,,
2018-12-30T10:30:00CET,29.76,,,,,,,
2018-12-30T10:20:00CET,29.75,,,,,,,
2018-12-30T10:10:00CET,29.68,,,,,,,
2018-12-30T10:00:00CET,29.77,,,,,,,
2018-12-30T09:50:00CET,29.6,,,,,,,
2018-12-30T09:40:00CET,29.62,,,,,,,
2018-12-30T09:30:00CET,29.78,,,,,,,
2018-12-30T09:20:00CET,29.82,,,,,,,
2018-12-30T09:10:00CET,29.9,,,,,,,
2018-12-30T09:00:00CET,29.93,,,,,,,
2018-12-30T08:50:00CET,29.96,,,,,,,
2018-12-30T08:40:00CET,30.02,,,,,,,
2018-12-30T08:30:00CET,30.06,,,,,,,
2018-12-30T08:20:00CET,30.08,,,,,,,
2018-12-30T08:10:00CET,30.1,,,,,,,
2018-12-30T08:00:00CET,30.13,,,,,,,
2018-12-30T07:50:00CET,30.13,,,,,,,
2018-12-30T07:40:00CET,30.1,,,,,,,
2018-12-30T07:30:00CET,30,,,,,,,
2018-12-30T07:20:00CET,30,,,,,,,
2018-12-30T07:10:00CET,30.03,,,,,,,
2018-12-30T07:00:00CET,30.01,,,,,,,
2018-12-30T06:50:00CET,30.02,,,,,,,
2018-12-30T06:40:00CET,29.98,,,,,,,
2018-12-30T06:30:00CET,30.03,,,,,,,
2018-12-30T06:20:00CET,29.94,,,,,,,
2018-12-30T06:10:00CET,29.92,,,,,,,
2018-12-30T06:00:00CET,29.91,,,,,,,
2018-12-30T05:50:00CET,29.88,,,,,,,
2018-12-30T05:40:00CET,29.69,,,,,,,
2018-12-30T05:30:00CET,29.69,,,,,,,
2018-12-30T05:20:00CET,29.76,,,,,,,
2018-12-30T05:10:00CET,29.83,,,,,,,
2018-12-30T05:00:00CET,29.69,,,,,,,
2018-12-30T04:50:00CET,29.62,,,,,,,
2018-12-30T04:40:00CET,29.61,,,,,,,
2018-12-30T04:30:00CET,29.61,,,,,,,
2018-12-30T04:20:00CET,29.55,,,,,,,
2018-12-30T04:10:00CET,29.59,,,,,,,
2018-12-30T04:00:00CET,29.32,,,,,,,
2018-12-30T03:50:00CET,29.65,,,,,,,
2018-12-30T03:40:00CET,29.61,,,,,,,
2018-12-30T03:30:00CET,29.71,,,,,,,
2018-12-30T03:20:00CET,29.61,,,,,,,
