station year los
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2018 268
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2019 298
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2020 361
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2021 238
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2022 289
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2023 329
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2024 239
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1993 218
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1994 194
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1995 240
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1996 196
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1997 209
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1998 191
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1999 213
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2000 180
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2001 232
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2002 187
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2003 217
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2004 217
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2005 197
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2006 197
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2007 185
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2008 214
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2009 216
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2010 235
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2011 146
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2012 178
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2013 222
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2014 192
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2015 180
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2016 182
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2017 163
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2018 154
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2019 199
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2020 185
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2021 187
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2022 173
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2023 171
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2002 0
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2003 174
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2004 196
