DATE,VALUE,,,,,,,
2018-12-31T00:00:00CET,53.17,,,Day,Max,Min,Mean,Valori serie
2018-12-30T23:50:00CET,53.18,,,2018-12-01,16.05,11.48,14.695,15
2018-12-30T23:40:00CET,53.31,,,2018-12-02,15.7,12.23,14.619,15
2018-12-30T23:30:00CET,53.11,,,2018-12-03,20.27,10.71,17.320,18
2018-12-30T23:20:00CET,53.15,,,2018-12-04,20.31,12.45,16.816,16
2018-12-30T23:10:00CET,52.93,,,2018-12-05,19.7,12.54,17.626,17
2018-12-30T23:00:00CET,52.69,,,2018-12-06,25.04,14.18,21.915,24
2018-12-30T22:50:00CET,51.71,,,2018-12-07,24.6,18.85,22.517,22
2018-12-30T22:40:00CET,51.6,,,2018-12-08,30.02,20.79,27.904,28
2018-12-30T22:30:00CET,52.4,,,2018-12-09,45.52,23.58,31.723,38
2018-12-30T22:20:00CET,52.8,,,2018-12-10,50.97,43.45,48.583,49
2018-12-30T22:10:00CET,53.07,,,2018-12-11,59.18,47.8,54.874,53
2018-12-30T22:00:00CET,53.28,,,2018-12-12,51.94,47.04,49.558,48
2018-12-30T21:50:00CET,53.57,,,2018-12-13,47.91,44.42,46.459,46
2018-12-30T21:40:00CET,53.57,,,2018-12-14,45.18,42.96,44.104,44
2018-12-30T21:30:00CET,53.63,,,2018-12-15,44.03,41.77,43.211,43
2018-12-30T21:20:00CET,53.53,,,2018-12-16,43.05,39.52,41.743,41
2018-12-30T21:10:00CET,53.58,,,2018-12-17,41.08,39.54,40.625,41
2018-12-30T21:00:00CET,53.6,,,2018-12-18,40.37,38.51,39.411,39
2018-12-30T20:50:00CET,53.77,,,2018-12-19,40.24,38.27,39.435,40
2018-12-30T20:40:00CET,53.99,,,2018-12-20,41.64,35.77,39.063,38
2018-12-30T20:30:00CET,53.79,,,2018-12-21,41.15,37.46,39.341,41
2018-12-30T20:20:00CET,53.71,,,2018-12-22,41.44,36.51,39.138,38
2018-12-30T20:10:00CET,53.68,,,2018-12-23,44.49,36.32,40.835,39
2018-12-30T20:00:00CET,53.63,,,2018-12-24,55.06,40.23,49.449,55
2018-12-30T19:50:00CET,53.52,,,2018-12-25,53.22,49.92,51.329,51
2018-12-30T19:40:00CET,53.51,,,2018-12-26,50.65,48.75,49.977,50
2018-12-30T19:30:00CET,53.69,,,2018-12-27,49.88,47.37,48.861,48
2018-12-30T19:20:00CET,53.26,,,2018-12-28,49.29,48.22,48.896,49
2018-12-30T19:10:00CET,53.19,,,2018-12-29,49.12,48.32,48.868,49
2018-12-30T19:00:00CET,53.24,,,2018-12-30,53.99,41.18,49.844,53
2018-12-30T18:50:00CET,53.25,,,,,,,
2018-12-30T18:40:00CET,53.4,,,,,,,
2018-12-30T18:30:00CET,53.49,,,,,,,
2018-12-30T18:20:00CET,53.47,,,,,,,
2018-12-30T18:10:00CET,53.52,,,,,,,
2018-12-30T18:00:00CET,53.47,,,,,,,
2018-12-30T17:50:00CET,53.52,,,,,,,
2018-12-30T17:40:00CET,53.23,,,,,,,
2018-12-30T17:30:00CET,52.91,,,,,,,
2018-12-30T17:20:00CET,52.27,,,,,,,
2018-12-30T17:10:00CET,52.44,,,,,,,
2018-12-30T17:00:00CET,52.53,,,,,,,
2018-12-30T16:50:00CET,52.9,,,,,,,
2018-12-30T16:40:00CET,53.13,,,,,,,
2018-12-30T16:30:00CET,52.96,,,,,,,
2018-12-30T16:20:00CET,52.54,,,,,,,
2018-12-30T16:10:00CET,52.33,,,,,,,
2018-12-30T16:00:00CET,52.21,,,,,,,
2018-12-30T15:50:00CET,52.08,,,,,,,
2018-12-30T15:40:00CET,52.07,,,,,,,
2018-12-30T15:30:00CET,51.96,,,,,,,
2018-12-30T15:20:00CET,51.95,,,,,,,
2018-12-30T15:10:00CET,51.87,,,,,,,
2018-12-30T15:00:00CET,51.98,,,,,,,
2018-12-30T14:50:00CET,51.95,,,,,,,
2018-12-30T14:40:00CET,48.29,,,,,,,
2018-12-30T14:30:00CET,45.3,,,,,,,
2018-12-30T14:20:00CET,43.56,,,,,,,
2018-12-30T14:10:00CET,45.43,,,,,,,
2018-12-30T14:00:00CET,45.54,,,,,,,
2018-12-30T13:50:00CET,47.23,,,,,,,
2018-12-30T13:40:00CET,48.6,,,,,,,
2018-12-30T13:30:00CET,49.7,,,,,,,
2018-12-30T13:20:00CET,50.23,,,,,,,
2018-12-30T13:10:00CET,50.82,,,,,,,
2018-12-30T13:00:00CET,50.68,,,,,,,
2018-12-30T12:50:00CET,50.09,,,,,,,
2018-12-30T12:40:00CET,46.07,,,,,,,
2018-12-30T12:30:00CET,48.61,,,,,,,
2018-12-30T12:20:00CET,49.49,,,,,,,
2018-12-30T12:10:00CET,48.1,,,,,,,
2018-12-30T12:00:00CET,51.27,,,,,,,
2018-12-30T11:50:00CET,51.51,,,,,,,
2018-12-30T11:40:00CET,49.54,,,,,,,
2018-12-30T11:30:00CET,48.07,,,,,,,
2018-12-30T11:20:00CET,47.9,,,,,,,
2018-12-30T11:10:00CET,47.39,,,,,,,
2018-12-30T11:00:00CET,45.74,,,,,,,
2018-12-30T10:50:00CET,47.83,,,,,,,
2018-12-30T10:40:00CET,48.09,,,,,,,
2018-12-30T10:30:00CET,47.85,,,,,,,
2018-12-30T10:20:00CET,47.76,,,,,,,
2018-12-30T10:10:00CET,47.39,,,,,,,
2018-12-30T10:00:00CET,44.33,,,,,,,
2018-12-30T09:50:00CET,45.04,,,,,,,
2018-12-30T09:40:00CET,45.55,,,,,,,
2018-12-30T09:30:00CET,47.42,,,,,,,
2018-12-30T09:20:00CET,47.95,,,,,,,
2018-12-30T09:10:00CET,47.02,,,,,,,
2018-12-30T09:00:00CET,47.71,,,,,,,
2018-12-30T08:50:00CET,47.35,,,,,,,
2018-12-30T08:40:00CET,46.87,,,,,,,
2018-12-30T08:30:00CET,47.53,,,,,,,
2018-12-30T08:20:00CET,46.5,,,,,,,
2018-12-30T08:10:00CET,47.87,,,,,,,
2018-12-30T08:00:00CET,47.98,,,,,,,
2018-12-30T07:50:00CET,47.89,,,,,,,
2018-12-30T07:40:00CET,41.18,,,,,,,
2018-12-30T07:30:00CET,41.53,,,,,,,
2018-12-30T07:20:00CET,46.46,,,,,,,
2018-12-30T07:10:00CET,47.34,,,,,,,
2018-12-30T07:00:00CET,47.91,,,,,,,
2018-12-30T06:50:00CET,46.18,,,,,,,
2018-12-30T06:40:00CET,46.6,,,,,,,
2018-12-30T06:30:00CET,47.85,,,,,,,
2018-12-30T06:20:00CET,44.73,,,,,,,
2018-12-30T06:10:00CET,48.25,,,,,,,
2018-12-30T06:00:00CET,47.49,,,,,,,
2018-12-30T05:50:00CET,47.64,,,,,,,
2018-12-30T05:40:00CET,48.17,,,,,,,
2018-12-30T05:30:00CET,48.46,,,,,,,
2018-12-30T05:20:00CET,48.49,,,,,,,
2018-12-30T05:10:00CET,48.44,,,,,,,
2018-12-30T05:00:00CET,48.27,,,,,,,
2018-12-30T04:50:00CET,48.5,,,,,,,
2018-12-30T04:40:00CET,48.71,,,,,,,
2018-12-30T04:30:00CET,48.84,,,,,,,
2018-12-30T04:20:00CET,48.95,,,,,,,
2018-12-30T04:10:00CET,48.94,,,,,,,
2018-12-30T04:00:00CET,48.89,,,,,,,
2018-12-30T03:50:00CET,48.93,,,,,,,
2018-12-30T03:40:00CET,48.92,,,,,,,
2018-12-30T03:30:00CET,48.98,,,,,,,
2018-12-30T03:20:00CET,48.82,,,,,,,
2018-12-30T03:10:00CET,48.8,,,,,,,
2018-12-30T03:00:00CET,48.85,,,,,,,
2018-12-30T02:50:00CET,48.75,,,,,,,
2018-12-30T02:40:00CET,48.89,,,,,,,
2018-12-30T02:30:00CET,48.89,,,,,,,
2018-12-30T02:20:00CET,48.5,,,,,,,
