name	lon	lat	ele	lon_DEM	lat_DEM	ele_DEM	diff	mark
TAA_TN_VAL_NOANA_DIGA	11.839286	46.13872	1030	11.8394444444444	46.1383333333333	1013.375	16.625	ok
TAA_TN_CIMA_CAVAION	10.715028	46.42302	2895	10.715	46.4227777777778	2887.3125	7.6875	ok
TAA_TN_PASSO_MENDOLA	11.189336	46.41918	1315	11.1894444444444	46.4194444444444	1326.875	-11.875	ok
TAA_TN_PASSO_COSTALUNGA	11.613615	46.40453	1750	11.6138888888889	46.405	1760.9375	-10.9375	ok
TAA_TN_PASSO_ROLLE	11.787124	46.29792	2012	11.7872222222222	46.2983333333333	1998.75	13.25	ok
TAA_TN_PASSO_VALLES	11.799791	46.33839	2032	11.7994444444444	46.3383333333333	2028.125	3.875	ok
TAA_TN_ROVERETO	11.043987	45.89632	203	11.0438888888889	45.8961111111111	207.8125	-4.8125	ok
TAA_TN_PRADALAGO_RIFUGIO_VIVIANI	10.813895	46.2497	2084	10.8138888888889	46.2494444444444	2090.125	-6.125	ok
TAA_TN_MONTE_GROSTE_RIFUGIO_GRAFFER	10.889755	46.21772	2258	10.8894444444444	46.2172222222222	2269.5	-11.5	ok
TAA_TN_PINZOLO	10.757484	46.15651	760	10.7572222222222	46.1561111111111	764.5	-4.5	ok
TAA_TN_TREMALZO	10.684142	45.84166	1560	10.6838888888889	45.8416666666667	1558.75	1.25	ok
TAA_TN_PASSO_BROCON	11.663267	46.11668	1610	11.6627777777778	46.1172222222222	1622.3125	-12.3125	ok
TAA_TN_MALE_BIVACCO_MARINELLI	10.860666	46.35628	2100	10.8605555555556	46.3561111111111	2097.875	2.125	ok
TAA_TN_PASSO_TONALE	10.596825	46.26256	1875	10.5972222222222	46.2627777777778	1878.75	-3.75	ok
TAA_TN_VERMIGLIO_CAPANNA_PRESENA	10.578715	46.22882	2715	10.5783333333333	46.2283333333333	2720.4375	-5.4375	ok
TAA_TN_MONTE_BONDONE_VIOTE	11.054869	46.01365	1490	11.055	46.0138888888889	1497.375	-7.375	ok
TAA_TN_PASSO_SOMMO	11.206083	45.91865	1360	11.2061111111111	45.9183333333333	1360.9375	-0.9375	ok
TAA_TN_PEIO_CROZZI_TAVIELA	10.631957	46.38418	2960	10.6316666666667	46.3838888888889	2961.0625	-1.0625	ok
TAA_TN_DAONE_MALGA_BISSINA	10.514122	46.0529	1785	10.5138888888889	46.0527777777778	1792.4375	-7.4375	ok
TAA_TN_ROVERETO_MALGA_ZUGNA	11.058163	45.80756	1620	11.0583333333333	45.8072222222222	1619.3125	0.6875	ok
TAA_TN_DOS_DEL_SABION_MONTE_GRUAL	10.811813	46.17225	1894	10.8116666666667	46.1727777777778	1887	7	ok
TAA_TN_PASSO_MANGHEN	11.439944	46.17492	2035	11.4394444444444	46.175	2009.5	25.5	ok
TAA_TN_CANAZEI_CIAMPAC	11.769081	46.44599	2150	11.7694444444444	46.4461111111111	2147.5	2.5	ok
TAA_TN_MARMOLADA_SAS_DEL_MUL	11.880813	46.44361	2606	11.8805555555556	46.4438888888889	2606.125	-0.125	ok
TAA_TN_PAGANELLA_MALGA_TERLAGO	11.021504	46.14301	1790	11.0216666666667	46.1427777777778	1793.5625	-3.5625	ok
TAA_TN_GRIGNO_BARRICATA	11.590219	45.97991	1345	11.5905555555556	45.9794444444444	1353.8125	-8.8125	ok
TAA_TN_VAL_DAMBIEZ	10.881405	46.13343	1888	10.8816666666667	46.1338888888889	1904.75	-16.75	ok
TAA_TN_RUMO_LANZA	11.008531	46.45391	1100	11.0083333333333	46.4538888888889	1104.375	-4.375	ok
TAA_TN_TONADICO_CASTELPIETRA	11.865668	46.19893	1045	11.8661111111111	46.1994444444444	1042.6875	2.3125	ok
TAA_TN_CAORIA	11.683911	46.19202	803	11.6838888888889	46.1916666666667	805	-2	ok
TAA_TN_PASSO_PIAN_DELLE_FUGAZZE	11.174829	45.759	1170	11.175	45.7594444444444	1174.75	-4.75	ok
TAA_TN_LAGO_DI_CALAITA	11.793483	46.20062	1605	11.7938888888889	46.2005555555556	1607.8125	-2.8125	ok
TAA_TN_VAL_GENOVA_MALGA_CARET	10.634818	46.18142	1418	10.635	46.1816666666667	1420.875	-2.875	ok
TAA_TN_PINZOLO_MALGA_ZELEDRIA	10.834362	46.24488	1775	10.8338888888889	46.245	1784.8125	-9.8125	ok
TAA_TN_SAN_MARTINO_DI_CASTROZZA	11.796306	46.26162	1470	11.7961111111111	46.2616666666667	1471.6875	-1.6875	ok
CH_IYPLI	11.9	46.5667	2050	11.9005555555556	46.5672222222222	1808.875	241.125	NO
CH_SLFSI2	8.9833	46.4667	2450	8.98277777777778	46.4672222222222	2431.3125	18.6875	ok
CH_ABO	7.5667	46.5	1321	7.56722222222222	46.4994444444444	1354.3125	-33.3125	ok
CH_SLFALB	9.8333	46.5833	2322	9.83277777777778	46.5827777777778	2321.75	0.25	ok
CH_SLFAL1	7	46.4833	1716	7.00055555555556	46.4827777777778	1397.1875	318.8125	NO
CH_SLFAM2	9.15	47.1667	1610	9.15055555555556	47.1672222222222	1439.6875	170.3125	NO
CH_SLFAN2	7.5333	46.1833	2630	7.53277777777778	46.1827777777778	2557.125	72.875	NO
CH_SLFAN3	7.65	46.1167	2590	7.65055555555556	46.1172222222222	2571.125	18.875	ok
CH_SLFVD2	7.3667	46.3167	2390	7.36722222222222	46.3172222222222	2170.125	219.875	NO
CH_SLFAR3	7.5667	46.0833	2610	7.56722222222222	46.0827777777778	2704.4375	-94.4375	NO
CH_SLFAR2	7.45	46.0333	2850	7.45055555555556	46.0327777777778	3082.375	-232.375	NO
CH_SLFBD3	8.5167	46.4833	2100	8.51722222222222	46.4827777777778	2434.4375	-334.4375	NO
CH_SLFBD2	8.5167	46.5333	2420	8.51722222222222	46.5327777777778	2443.9375	-23.9375	ok
CH_SLFBEL	7.9667	46.4	2556	7.96722222222222	46.3994444444444	2866.5625	-310.5625	NO
CH_SLFBE2	10.0333	46.4167	2450	10.0327777777778	46.4172222222222	2493	-43	ok
CH_SLFBE3	9.9167	46.4333	2620	9.91722222222222	46.4327777777778	2587.8125	32.1875	ok
CH_SLFBR2	9.8333	46.5333	2510	9.83277777777778	46.5327777777778	2711.375	-201.375	NO
CH_BLA	7.8167	46.4167	1538	7.81722222222222	46.4172222222222	1564.0625	-26.0625	ok
CH_SLFBO2	8.4667	46.3333	2310	8.46722222222222	46.3327777777778	2345	-35	ok
CH_SLFTM2	9.0167	46.7833	2195	9.01722222222222	46.7827777777778	2318.625	-123.625	NO
CH_SLFRO2	8	46.7667	1870	8.00055555555556	46.7672222222222	1179.5625	690.4375	NO
CH_FRE	6.5833	46.8333	1205	6.58277777777778	46.8327777777778	736.875	468.125	NO
CH_SLFCA2	8.7167	46.4667	2220	8.71722222222222	46.4672222222222	2226	-6	ok
CH_CHA	7.05	47.1333	1594	7.05055555555556	47.1327777777778	1493.25	100.75	NO
