station year duration start
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2018 191 102
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2019 143 57
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2020 260 46
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2021 160 36
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2022 83 192
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2023 152 144
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2024 149 132
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1993 218 58
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1994 138 128
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1995 117 71
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1996 116 91
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1997 190 71
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1998 77 160
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1999 109 162
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2000 60 195
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2001 222 61
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2002 120 83
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2003 164 101
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2004 140 139
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2005 145 124
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2006 132 151
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2007 100 125
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2008 211 75
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2009 129 57
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2010 223 63
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2011 111 127
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2012 159 96
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2013 192 89
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2014 138 109
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2015 166 74
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2016 137 81
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2017 49 86
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2018 30 214
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2019 100 115
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2020 133 63
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2021 141 92
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2022 83 127
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2023 41 190
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2002 0 NA
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2003 159 71
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2004 190 49
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2005 19 90
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2006 112 140
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2007 147 78
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2008 121 69
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2009 135 57
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2010 121 83
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2011 144 69
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2012 42 128
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2013 129 119
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2014 34 64
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2015 48 111
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2016 107 142
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2017 57 144
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2018 48 206
