station year los
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2018 193
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2019 264
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2020 298
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2021 225
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2022 194
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2023 257
HSD_TAA_TN_PEIO_CROZZI_TAVIELA 2024 223
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1993 218
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1994 193
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1995 240
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1996 196
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1997 208
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1998 191
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 1999 213
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2000 180
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2001 232
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2002 187
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2003 217
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2004 217
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2005 197
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2006 197
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2007 185
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2008 214
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2009 216
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2010 234
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2011 146
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2012 171
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2013 221
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2014 189
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2015 178
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2016 182
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2017 162
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2018 154
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2019 199
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2020 185
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2021 187
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2022 173
HSD_IT_VDA_AO_COURMAYEUR-MONT_DE_LA_SAXE_1200 2023 170
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2002 0
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2003 173
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2004 196
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2005 50
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2006 174
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2007 152
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2008 180
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2009 185
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2010 181
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2011 165
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2012 111
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2013 201
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2014 132
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2015 180
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2016 166
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2017 169
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2018 133
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2019 133
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2020 124
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2021 146
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2022 99
HSD_IT_VDA_AO_COURMAYEUR-PRE_DE_BARD_1220 2023 174
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1993 204
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1994 180
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1995 257
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1996 186
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1997 217
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1998 186
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 1999 210
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2000 202
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2001 217
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2002 191
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2003 176
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2004 223
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2005 195
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2006 183
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2007 173
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2008 199
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2009 207
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2010 215
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2011 189
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2012 191
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2013 228
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2014 201
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2015 186
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2016 195
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2017 210
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2018 211
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2019 198
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2020 191
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2021 191
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2022 187
HSD_IT_VDA_AO_PRE_SAINT_DIDIER-PLAN_PRAZ_1500 2023 194
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2007 184
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2008 254
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2009 251
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2010 279
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2011 234
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2012 259
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2013 253
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2014 215
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2015 209
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2016 231
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2017 223
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2018 194
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2019 220
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2020 222
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2021 244
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2022 193
HSD_IT_VDA_AO_VALTOURNENCHE-GRANDES_MURAILLES_1710 2023 231
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2010 180
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2011 162
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2012 152
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2013 199
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2014 168
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2015 161
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2016 144
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2017 170
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2018 178
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2019 150
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2020 158
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2021 140
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2022 139
HSD_IT_VDA_AO_AYAS-ALPE_AVENTINE_1730 2023 144
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2010 114
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2011 189
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2012 202
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2013 220
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2014 206
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2015 191
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2016 72
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2017 0
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2018 181
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2019 0
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2020 201
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2021 201
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2022 189
HSD_IT_VDA_AO_SAINT_PIERRE-LAGO_DELLE_RANE_2530 2023 201
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2011 179
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2012 218
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2013 234
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2014 227
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2015 213
HSD_IT_VDA_AO_GRESSONEY_SAINT_JEAN-LAGO_DI_SEEBNA_2560 2016 233
