name lon lat ele
HSD_TAA_TN_PASSO_MENDOLA 11.189336 46.419179 1315
HSD_IT_PIE_TO_VAL_CLAREA 6.9634 45.14074 1068
HSD_FR_METEOFRANCE_Montelimar 4.7265 44.5753333333333 73
HSD_FR_METEOFRANCE_Orange 4.85666666666667 44.14 57
HSD_FR_METEOFRANCE_St_pal_en_chal_meallet 3.95983333333333 45.3401666666667 960
HSD_AT_104000 13.01167 47.97472 460
HSD_AT_104356 13.25083 47.97722 530
HSD_AT_111591 13.73444 47.0775 1071
HSD_AT_101220 10.68111 47.47167 874
HSD_AT_101246 10.74806 47.41167 1338
HSD_AT_102228 11.01472 46.985 1332
HSD_AT_102517 11.82778 47.37639 960
HSD_AT_102681 12.03 47.22445 1263
HSD_AT_102756 11.79333 47.52055 1013
HSD_AT_102962 11.94306 47.15778 1022
HSD_AT_102970 11.86306 47.30778 554
HSD_AT_103192 11.83 47.17583 1790
HSD_AT_113035 12.57111 46.77694 1300
HSD_AT_114959 12.50222 46.725 1374
HSD_AT_100487 9.77417 47.46639 720
HSD_AT_100602 9.93944 47.36722 705
