name year mark los_MOD los_STA
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2001 OK 81 155
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2002 OK 25 61
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2003 OK 35 115
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2004 OK 56 155
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2005 OK 9 129
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2006 OK 54 139
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2007 OK 14 96
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2009 OK 80 143
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2010 OK 45 139
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2011 OK 51 142
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2012 OK 19 121
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2013 OK 27 148
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2014 OK 89 150
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2015 OK 45 91
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2016 OK 0 79
HSD_IT_BZ_Anterivo_Osservatore 2004 OK 71 116
HSD_IT_BZ_Anterivo_Osservatore 2005 OK 27 103
HSD_IT_BZ_Anterivo_Osservatore 2007 OK 17 26
HSD_IT_BZ_Anterivo_Osservatore 2008 OK 33 60
HSD_IT_BZ_Anterivo_Osservatore 2010 OK 60 109
HSD_IT_BZ_Anterivo_Osservatore 2011 OK 54 102
HSD_IT_BZ_Anterivo_Osservatore 2012 OK 38 82
HSD_IT_BZ_Anterivo_Osservatore 2013 OK 91 125
HSD_IT_BZ_Anterivo_Osservatore 2015 OK 18 67
HSD_IT_BZ_Anterivo_Osservatore 2016 OK 27 43
HSD_IT_BZ_Anterivo_Osservatore 2017 OK 9 26
HSD_IT_BZ_Anterivo_Osservatore 2018 OK 69 118
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 2002 OK 53 78
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2015 OK 24 58
HSD_IT_BZ_Casere_di_Fuori_Osservatore 2016 OK 46 83
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2004 OK 9 63
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2008 OK 2 23
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2009 OK 30 106
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2011 OK 0 53
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2012 OK 4 14
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2013 OK 13 83
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2016 OK 0 17
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2017 OK 0 10
HSD_IT_BZ_Diga_di_Neves_Osservatore 2002 OK 95 158
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2002 OK 7 33
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2003 OK 54 80
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2004 OK 64 84
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2007 OK 47 69
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2008 OK 69 115
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2011 OK 57 112
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2013 OK 90 126
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2015 OK 10 44
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2017 OK 42 66
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2018 OK 107 151
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 2019 OK 58 97
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2005 OK 68 117
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2007 OK 48 95
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2016 OK 57 84
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2007 OK 50 81
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2012 OK 57 80
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2005 NO 25 111
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2007 NO 6 33
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2008 NO 42 71
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2012 NO 27 78
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2005 OK 12 27
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2012 OK 31 60
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2013 OK 51 71
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2014 OK 17 41
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2015 OK 2 12
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2016 OK 6 17
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2018 OK 26 54
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2019 OK 14 25
HSD_IT_BZ_Fortezza_Osservatore 2001 OK 16 28
HSD_IT_BZ_Fortezza_Osservatore 2004 OK 9 33
HSD_IT_BZ_Fortezza_Osservatore 2006 OK 20 38
HSD_IT_BZ_Fortezza_Osservatore 2012 OK 0 19
HSD_IT_BZ_Fortezza_Osservatore 2013 OK 3 32
HSD_IT_BZ_Fundres_Osservatore 2002 OK 27 67
HSD_IT_BZ_Fundres_Osservatore 2003 OK 32 82
HSD_IT_BZ_Fundres_Osservatore 2004 OK 89 123
HSD_IT_BZ_Fundres_Osservatore 2007 OK 56 92
HSD_IT_BZ_Fundres_Osservatore 2008 OK 96 125
HSD_IT_BZ_Fundres_Osservatore 2017 OK 44 58
HSD_IT_BZ_Fundres_Osservatore 2019 OK 86 115
HSD_IT_BZ_Lago_Verde_Osservatore 2002 OK 140 217
HSD_IT_BZ_Lazfons_Osservatore 2002 OK 9 14
HSD_IT_BZ_Lazfons_Osservatore 2005 OK 12 39
HSD_IT_BZ_Lazfons_Osservatore 2008 OK 25 40
HSD_IT_BZ_Lazfons_Osservatore 2012 OK 59 85
HSD_IT_BZ_Lazfons_Osservatore 2015 OK 2 18
HSD_IT_BZ_Lazfons_Osservatore 2017 OK 8 11
HSD_IT_BZ_Lazfons_Osservatore 2019 OK 21 40
HSD_IT_BZ_Longiaru_Osservatore 2004 OK 132 176
HSD_IT_BZ_Longiaru_Osservatore 2005 OK 94 127
HSD_IT_BZ_Longiaru_Osservatore 2007 OK 84 127
HSD_IT_BZ_Longiaru_Osservatore 2008 OK 89 151
