name year mark los_MOD los_STA
HSD_IT_BZ_Bronzolo_Osservatore 2003 REV 10 7
HSD_IT_BZ_Bronzolo_Osservatore 2005 REV 27 11
HSD_IT_BZ_Bronzolo_Osservatore 2010 REV 39 5
HSD_IT_BZ_Bronzolo_Osservatore 2016 REV 11 2
HSD_IT_BZ_Diga_di_Vizze_Osservatore 2003 OK 71 52
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2003 OK 64 50
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2016 OK 56 37
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 2017 OK 30 15
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 2011 OK 23 16
HSD_IT_BZ_Fortezza_Osservatore 2019 OK 10 7
HSD_IT_BZ_Lazfons_Osservatore 2016 OK 41 31
HSD_IT_BZ_Meltina_Osservatore 2003 NO 12 8
HSD_IT_BZ_Meltina_Osservatore 2007 NO 17 9
HSD_IT_BZ_Meltina_Osservatore 2008 NO 20 11
HSD_IT_BZ_Meltina_Osservatore 2011 NO 34 21
HSD_IT_BZ_Meltina_Osservatore 2012 NO 34 27
HSD_IT_BZ_Meltina_Osservatore 2017 NO 13 6
HSD_IT_BZ_Meltina_Osservatore 2018 NO 58 39
HSD_IT_BZ_Molini_di_Tures_Osservatore 2017 OK 27 15
HSD_IT_BZ_Ora_Osservatore 2019 OK 15 11
HSD_IT_BZ_Ortisei_Osservatore 2015 NO 36 22
HSD_IT_BZ_Plata_Osservatore 2004 OK 95 71
HSD_IT_BZ_Plata_Osservatore 2008 OK 83 51
HSD_IT_BZ_Plata_Osservatore 2015 OK 51 34
HSD_IT_BZ_Plata_Osservatore 2016 OK 75 51
HSD_IT_BZ_Plata_Osservatore 2017 OK 49 35
HSD_IT_BZ_Plata_Osservatore 2019 OK 90 67
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2007 OK 29 13
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2008 OK 21 11
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2010 OK 64 50
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2011 OK 34 9
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2012 OK 38 11
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2015 OK 27 10
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2016 OK 29 10
