name max_hs max_swe
HSD_AT_100206 180 437.71857983029
HSD_AT_100263 345 867.69009752065
HSD_AT_100313 130 324.278458393791
HSD_AT_100362 180 412.858170430634
HSD_AT_100370 95 135.661033184904
HSD_AT_100404 75 97.49680665092
HSD_AT_100412 229 496.820133807457
HSD_AT_100420 66 86.5209936215343
HSD_AT_100438 66 77.8157220142826
HSD_AT_100446 57 79.8323179434765
HSD_AT_100453 176 446.208897274092
HSD_AT_100461 99 183.893851918171
HSD_AT_100479 57 103.8
HSD_AT_100487 126 263.740043061945
HSD_AT_100503 115 216.784379644792
HSD_AT_100529 64 95.2
HSD_AT_100560 202 512.137270110926
HSD_AT_100602 120 325
HSD_AT_100628 270 812.961759431054
HSD_AT_100636 102 270.7
HSD_AT_100644 115 244.4
HSD_AT_100651 350 902.357635152328
HSD_AT_100685 228 590.440586144183
HSD_AT_100701 165 355.433411631881
HSD_AT_100719 150 383.891926049436
HSD_AT_100727 240 646.358662366745
HSD_AT_100735 128 269.503001455627
HSD_AT_100776 62 85.1
HSD_AT_100792 165 357.248134972281
HSD_AT_100800 60 102.3
HSD_AT_100826 250 646.851810328363
HSD_AT_100842 129 227.926168160088
HSD_AT_100875 137 333.030628554879
HSD_AT_100883 66 75.8082083855276
HSD_AT_100917 84 127
HSD_AT_100925 65 117.514703136272
HSD_AT_100933 104 159.907548489065
HSD_AT_100941 70 109.207450812913
HSD_AT_100966 295 772.054276870051
HSD_AT_100974 140 332.599301155293
HSD_AT_101113 340 1101.40195540122
HSD_AT_101121 264 814.901797725988
HSD_AT_101147 200 557.602563140069
HSD_AT_101162 145 423
HSD_AT_101170 210 598.447368926442
HSD_AT_101188 220 526.125818000635
HSD_AT_101196 145 394.757706883112
HSD_AT_101204 192 563.999530329382
HSD_AT_101212 119 297.0728735
HSD_AT_101220 148 359.3
HSD_AT_101246 195 541.8415356214
HSD_AT_101261 160 453.4
HSD_AT_101279 120 267.113505356266
HSD_AT_101287 145 376.951224242602
HSD_AT_101303 185 536.04992531702
HSD_AT_101311 168 457.736927288786
HSD_AT_101493 205 480.085816812906
HSD_AT_101519 140 344.840648085983
HSD_AT_101543 265 697.498350731968
HSD_AT_101717 178 383.903700612738
HSD_AT_101790 93 148.657772481858
HSD_AT_101816 145 319.816407373394
HSD_AT_101873 140 312.004485103346
HSD_AT_101956 150 327.380045073025
HSD_AT_102004 85 200.2
HSD_AT_102046 220 542.535959690868
HSD_AT_102061 125 316.947081420481
HSD_AT_102079 90 167.4
HSD_AT_102228 95 210.137934293359
HSD_AT_102236 87 179.173128817267
HSD_AT_102251 70 143.4
HSD_AT_102269 202 489.637994403958
HSD_AT_102277 89 154.265406211298
HSD_AT_102285 85 243.8
HSD_AT_102301 76 137.8
HSD_AT_102319 125 288.907523175725
HSD_AT_102350 130 339.762577615397
HSD_AT_102368 92 212.758344442224
HSD_AT_102376 67 149.281568485515
HSD_AT_102384 68 157.505960445427
HSD_AT_102400 30 48.1
HSD_AT_102434 63 122.936022104261
HSD_AT_102467 135 339.591531711091
HSD_AT_102475 135 271.059438613333
HSD_AT_102483 80 188.4
HSD_AT_102509 115 284.549338988448
HSD_AT_102517 156 388.085621625706
HSD_AT_102632 116 286.600711579363
HSD_AT_102640 130 274.12286232895
HSD_AT_102681 160 404.6008078
HSD_AT_102723 154 429.443929806356
HSD_AT_102749 120 311.985573998688
HSD_AT_102756 195 531.438147782011
HSD_AT_102764 115 281.349559512721
HSD_AT_102772 125 323.5842266
HSD_AT_102780 100 257.3
HSD_AT_102806 110 263.381114251928
HSD_AT_102830 142 371.450797640282
HSD_AT_102863 145 354.756781206004
HSD_AT_102889 245 653.701869497272
HSD_AT_102905 150 444.4
HSD_AT_102954 154 313.202150848564
HSD_AT_102962 113 291.182621956298
HSD_AT_102970 75 200.2
HSD_AT_103036 64 125.292272054437
HSD_AT_103051 183 439.539489105887
HSD_AT_103085 215 631.583853594792
HSD_AT_103101 95 213.855373482123
HSD_AT_103119 50 73.2
HSD_AT_103127 165 398.9172159
HSD_AT_103135 205 543.7088283155
HSD_AT_103143 158 406.826499658662
HSD_AT_103176 230 513.260803232418
HSD_AT_103192 265 699.777604991022
HSD_AT_103218 145 398.534429427573
HSD_AT_103226 150 404.5065668
HSD_AT_103309 78 169.825881493038
HSD_AT_103333 150 395.544978857332
HSD_AT_103358 216 614.790851291297
HSD_AT_103382 147 321.766092176475
HSD_AT_103432 88 193.590435020728
HSD_AT_103440 84 189.388850700339
HSD_AT_103580 120 291.051937303088
HSD_AT_103622 140 386.930240263288
HSD_AT_103655 109 231.2412626641
HSD_AT_103663 105 217.356048568386
HSD_AT_103689 105 264.8779285
HSD_AT_103697 128 252.868730433504
HSD_AT_103705 140 370.798856990217
HSD_AT_103770 130 297.147168981418
HSD_AT_103820 110 239.050020843909
HSD_AT_103846 205 438.790867538443
HSD_AT_103879 66 170.6
HSD_AT_103895 75 195.2
HSD_AT_103929 145 365.277335988065
HSD_AT_103945 155 404.56471405634
HSD_AT_103978 150 369.901946407085
HSD_AT_103986 162 442.3
HSD_AT_104000 61 146.1
HSD_AT_104018 62 132.4
HSD_AT_104059 86 197.24909371938
HSD_AT_104174 128 339.099430988102
HSD_AT_104208 96 179.081788828277
HSD_AT_104281 73 104.789375121064
HSD_AT_104356 82 216.474149229649
HSD_AT_105023 137 353.616960829925
HSD_AT_105254 138 281.4
HSD_AT_105353 115 306.9
HSD_AT_105908 106 282.818308419534
HSD_AT_105916 118 246.755130204511
HSD_AT_105932 170 376.759382491673
HSD_AT_105940 250 641.402516537293
HSD_AT_106682 82 183.5
HSD_AT_106690 110 210.738650078346
HSD_AT_110163 91 177.080610780597
HSD_AT_110189 73 224.9
HSD_AT_110791 200 431.232890852255
HSD_AT_111500 128 247.492371366952
HSD_AT_111526 140 249.673655656992
HSD_AT_111542 354 1077.88197407981
HSD_AT_111559 110 237.218056085269
HSD_AT_111641 161 362.142491750175
HSD_AT_113001 158 406.546600941028
HSD_AT_113019 235 465.830810581904
HSD_AT_113027 210 463.346213048012
HSD_AT_113043 155 302.268578863387
HSD_AT_113050 135 225.407254079235
HSD_AT_113084 149 228.056290170149
HSD_AT_113100 165 361.750416893386
HSD_AT_113118 144 350.8
HSD_AT_113126 140 321
HSD_AT_113175 160 333.583288143276
HSD_AT_113225 127 293.217242130364
HSD_AT_113399 100 165.446694240679
HSD_AT_113449 172 378.70802481235
HSD_AT_113464 160 292.2
HSD_AT_113480 90 177.6
HSD_AT_113555 72 187.8
HSD_AT_113563 128 229.731555529758
HSD_AT_113589 213 611.65878947771
HSD_AT_113597 220 602.824405220797
HSD_AT_113670 280 695.767038747038
HSD_AT_113704 190 445.040905281579
HSD_AT_113738 167 387.725777645635
HSD_AT_113746 130 264.3
HSD_AT_113787 166 627.9
HSD_AT_113803 100 268.8
HSD_AT_113837 180 640.2
HSD_AT_113894 108 229.4
HSD_AT_113936 108 214.420271806998
HSD_AT_114025 52 116
HSD_AT_114066 65 111.4
HSD_AT_114124 92 180.9
HSD_AT_114165 95 198.467471737495
HSD_AT_114215 90 206.2
HSD_AT_114249 109 197.994225577263
HSD_AT_114256 85 138.850245492407
HSD_AT_114272 95 194.550578931334
HSD_AT_114298 75 142.431036461919
HSD_AT_114306 70 147.358567202844
HSD_AT_114512 195 419.2
HSD_AT_114538 190 450.241525096343
HSD_AT_114561 65 130.3
HSD_AT_114587 46 111.5
HSD_AT_114603 48 114.7
HSD_AT_114629 89 216.9
HSD_AT_114694 99 205.9
HSD_AT_114702 43 101.3
HSD_AT_114777 49 117.6
HSD_AT_114876 46 84.1
HSD_AT_114884 160 350.49168603901
HSD_AT_114900 193 542.910904093591
HSD_AT_114926 160 285.111137909317
HSD_AT_114934 208 570.799065576504
HSD_AT_114942 150 290
HSD_AT_114959 154 416.481871331984
HSD_AT_115022 150 307.098580267203
HSD_AT_115030 69 143
HSD_AT_115055 56 106.6
HSD_AT_115469 129 269.669018382273
HSD_AT_118612 74 117.7
HSD_AT_119396 124 291.863507866495
HSD_AT_119412 135 366.942436223495
HSD_AT_119792 155 383.143427648525
HSD_AT_120022 52 107.251475091117
HSD_AT_121053 64 75.6
HSD_AT_126029 183 438.025075654555
HSD_CH_ABO 80 273.8
HSD_CH_ABO_MAN 132 310.284514968989
HSD_CH_ANT_MAN 259 725.386153105658
HSD_CH_ARO_MAN 186 524.269290684924
HSD_CH_BEH_MAN 640 2193.91587109446
HSD_CH_BLA 170 508.075058413631
HSD_CH_BLA_MAN 170 458.9
HSD_CH_CDF 277 168.3
HSD_CH_CDF_MAN 133 312.589396772609
HSD_CH_CHA 397 407.2
HSD_CH_CHD_MAN 92 157.053149970574
HSD_CH_CHM_MAN 106 180.1
HSD_CH_DAV 350 541.85668951738
HSD_CH_DAV_MAN 192 456.004067534373
HSD_CH_DIS 233 251.6
HSD_CH_DIS_MAN 194 301.949556247019
HSD_CH_DOL 363 699.8
HSD_CH_DOL_MAN 240 832.8
HSD_CH_ENG 183 152.7
HSD_CH_ENG_MAN 95 236.588775692248
HSD_CH_EVO_MAN 200 290.803678676972
HSD_CH_FRE 158 180.5
HSD_CH_GRC_MAN 380 187.68267305006
HSD_CH_GRH_MAN 540 1810.00082708444
HSD_CH_GST_MAN 142 206.354973306332
HSD_CH_GUE 451 1024.91789108141
HSD_CH_GUE_MAN 460 1615.47346528693
HSD_CH_HIR_MAN 230 608.401182982292
HSD_CH_HOE 117 121.2
HSD_CH_MFOFKP 192 1209.1
HSD_CH_MVE_MAN 258 606.9012117
HSD_CH_NAP 352 431.4
HSD_CH_PLF 350 69.3
HSD_CH_PLF_MAN 41 60.8304814100766
HSD_CH_ROB 77 170.8
HSD_CH_ROB_MAN 83 170.8
HSD_CH_SAE_MAN 816 2960.19204401258
HSD_CH_SAM 354 224
HSD_CH_SAM_MAN 190 316.421097562964
HSD_CH_SBE 241 718.868760214811
HSD_CH_SBE_MAN 1641 1843.10803159549
HSD_CH_SCU 341 203.170598741502
HSD_CH_SCU_MAN 116 260.816313995252
HSD_CH_SIA_MAN 210 558.689071046387
HSD_CH_SLFAL1 232 695.966222301468
HSD_CH_SLFAM2 537 1165.96266244586
HSD_CH_SLFAN2 568 853.625522750442
HSD_CH_SLFAN3 594 569.417833603503
HSD_CH_SLFAR2 628 943.821144209628
HSD_CH_SLFBD2 629 1838.38069724779
HSD_CH_SLFBD3 508 1206.99352161642
HSD_CH_SLFBE2 611 943.5
HSD_CH_SLFBE3 568 815.9
HSD_CH_SLFBEL 364 1084.83396917367
HSD_CH_SLFBO2 623 1000.7
HSD_CH_SLFBOR 630 1625.15091024968
HSD_CH_SLFBR2 275 689.7
HSD_CH_SLFBV2 609 649.458811458557
HSD_CH_SLFCH2 400 865.593112807888
HSD_CH_SLFCMA 332 791.2
HSD_CH_SLFCON 434 1180.33490947949
HSD_CH_SLFDA2 349 592.1
HSD_CH_SLFDA3 559 930.2027153
HSD_CH_SLFDIA 433 1385.12634870095
HSD_CH_SLFDT2 388 733.6
HSD_CH_SLFEGH 320 1020.9
HSD_CH_SLFEL2 471 1075.63410498474
HSD_CH_SLFEM2 624 1178.56142152924
HSD_CH_SLFES2 223 478.286686102128
HSD_CH_SLFFA2 351 836.302821630084
HSD_CH_SLFFIR 361 956.731992235101
HSD_CH_SLFFIS 526 829.458531338596
HSD_CH_SLFFN2 618 1703.8793165247
HSD_CH_SLFFO2 625 9427.9
HSD_CH_SLFFRA 327 1018.6
HSD_CH_SLFFU2 508 1523.38083607353
