name first last
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 1997 2016
HSD_IT_BZ_Anterivo_Osservatore 1984 2018
HSD_IT_BZ_Anterselva_di_Mezzo_Osservatore 1985 2019
HSD_IT_BZ_Braies_Ferrara_Osservatore 1995 2017
HSD_IT_BZ_Bronzolo_Osservatore 1981 2019
HSD_IT_BZ_Casere_di_Fuori_Osservatore 1984 2018
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2002 2018
HSD_IT_BZ_Costalovara_Osservatore 1990 2018
HSD_IT_BZ_Diga_di_Gioveretto_Osservatore 1981 2019
HSD_IT_BZ_Diga_di_Neves_Osservatore 1981 2019
HSD_IT_BZ_Diga_di_Quaira_Osservatore 1981 1990
HSD_IT_BZ_Diga_di_Valdaora_Osservatore 1981 2019
HSD_IT_BZ_Diga_di_Vizze_Osservatore 1981 2019
HSD_IT_BZ_Diga_di_Zoccolo_Osservatore 1981 2019
HSD_IT_BZ_Favogna_di_sotto_Osservatore 1983 2018
HSD_IT_BZ_Fie_allo_Sciliar_Osservatore 1989 2019
HSD_IT_BZ_Fleres_Osservatore 1985 2012
HSD_IT_BZ_Fontana_Bianca 1981 2019
HSD_IT_BZ_Fortezza_Osservatore 1981 2019
HSD_IT_BZ_Fundres_Osservatore 1981 2019
HSD_IT_BZ_La_Villa_in_Badia_Osservatore 1988 2019
HSD_IT_BZ_Lago_Verde_Osservatore 1981 2019
HSD_IT_BZ_Lazfons_Osservatore 1981 2019
HSD_IT_BZ_Longiaru_Osservatore 1984 2019
HSD_IT_BZ_Luson_Osservatore 1981 2019
HSD_IT_BZ_Maia_Alta_Osservatore 1986 2019
HSD_IT_BZ_Mazia_Osservatore 1981 2019
HSD_IT_BZ_Melago_Osservatore 1990 2019
HSD_IT_BZ_Meltina_Osservatore 1981 2019
HSD_IT_BZ_Molini_di_Tures_Osservatore 1981 2019
HSD_IT_BZ_Monte_Maria_Osservatore 1981 2011
HSD_IT_BZ_Nova_Levante_Osservatore 1985 2017
HSD_IT_BZ_Nova_Ponente_Maso_di_sopra_Osservatore 1993 2018
HSD_IT_BZ_Ora_Osservatore 2007 2019
HSD_IT_BZ_Ortisei_Osservatore 1982 2019
HSD_IT_BZ_Pennes_Osservatore 1982 2019
HSD_IT_BZ_Plata_Osservatore 1981 2019
HSD_IT_BZ_Prato_allo_Stelvio_Osservatore 2003 2019
HSD_IT_BZ_Racines_di_Dentro_Osservatore 1984 2019
HSD_IT_BZ_Redagno_Osservatore 1983 2019
HSD_IT_BZ_Ridanna_Osservatore 1981 2013
HSD_IT_BZ_Rifiano_Beobachter 2004 2019
HSD_IT_BZ_Roia_di_Fuori_Osservatore 1982 2019
HSD_IT_BZ_S_Cassiano_Osservatore 1981 2019
HSD_IT_BZ_S_Genesio_Atesino_Osservatore 1985 2019
HSD_IT_BZ_S_Leonardo_in_Passiria_Osservatore 1985 2018
HSD_IT_BZ_S_Maddalena_in_Casies_Osservatore 1981 2019
HSD_IT_BZ_S_Martino_in_Passiria_Osservatore 1981 2019
HSD_IT_BZ_S_Pancrazio_Osservatore 1981 2019
HSD_IT_BZ_S_Valentino_alla_Muta_Osservatore 1981 2019
HSD_IT_BZ_S_Valpurga_d_Ultimo_Osservatore 2005 2012
HSD_IT_BZ_S_Vito_di_Braies_Osservatore 1981 2019
HSD_IT_BZ_San_Candido_Osservatore 2010 2019
HSD_IT_BZ_San_Martino_Osservatore 1990 2019
HSD_IT_BZ_Scena_Osservatore 1986 2019
HSD_IT_BZ_Sesto_Osservatore 1981 2019
HSD_IT_BZ_Silandro_Convento_Osservatore 1988 2016
HSD_IT_BZ_Slingia_Osservatore 1981 2019
HSD_IT_BZ_Terento_Osservatore 1995 2019
HSD_IT_BZ_Terme_di_Brennero_Osservatore 1981 2013
HSD_IT_BZ_Valles_osservatore 1983 2019
HSD_IT_BZ_Valluzza_Osservatore 1981 2019
HSD_IT_BZ_Vanga_Osservatore 1984 2019
HSD_IT_BZ_Vipiteno_osservatore 1981 2012
HSD_IT_FVG_Aupa 1984 1989
HSD_IT_FVG_Casetta_in_Canada 2008 2019
HSD_IT_FVG_Cave_del_Predil 1985 2018
HSD_IT_FVG_Claut 1974 2020
HSD_IT_FVG_Collina 1974 2017
HSD_IT_FVG_Florianca 1983 2006
HSD_IT_FVG_Forni_di_Sopra 1973 2020
HSD_IT_FVG_Fusine_Val_Romana 1983 2020
HSD_IT_FVG_Gilberti 1973 2020
HSD_IT_FVG_Lussari 1974 2020
HSD_IT_FVG_Monte_Zoncolan 1976 2020
HSD_IT_FVG_Paluzza 1978 1982
HSD_IT_FVG_Passo_del_Predil 2019 2020
HSD_IT_FVG_Passo_Pramollo 1979 2020
HSD_IT_FVG_Paularo 1974 1976
HSD_IT_FVG_Piancavallo 1974 2020
HSD_IT_FVG_Pontebba 1978 1983
HSD_IT_FVG_Pradibosco 1991 2016
HSD_IT_FVG_Prescudin 1973 2007
HSD_IT_FVG_Ravascletto 1973 2020
HSD_IT_FVG_Rifugio_Arneri 2015 2020
HSD_IT_FVG_Rifugio_Zacchi 2019 2020
HSD_IT_FVG_Rutte_Piccolo 2006 2020
HSD_IT_FVG_Sauris_di_Sopra 1990 2018
HSD_IT_FVG_Sauris_di_Sopra_2 1974 1980
HSD_IT_FVG_Sella_Lius 1994 2020
HSD_IT_FVG_Sella_Nevea 1973 2020
HSD_IT_FVG_Tarvisio 1973 2020
HSD_IT_FVG_Val_Saisera 1997 2017
HSD_IT_FVG_Varmost 1985 2020
HSD_IT_PIE_AL_BRIC_CASTELLARO 2011 2023
HSD_IT_PIE_AL_CAPANNE_MARCAROLO 1991 2023
HSD_IT_PIE_AL_PIANI_DI_CARREGA 2002 2023
HSD_IT_PIE_AL_PONZONE_BRIC_BERTON 1991 2023
HSD_IT_PIE_AT_ASTI 2010 2023
HSD_IT_PIE_BI_BIELMONTE 2003 2023
HSD_IT_PIE_BI_CAMPARIENT 2000 2023
HSD_IT_PIE_BI_GRAGLIA 2010 2023
HSD_IT_PIE_BI_PIEDICAVALLO 1998 2023
HSD_IT_PIE_CN_ACCEGLIO 1992 2023
HSD_IT_PIE_CN_ACCEGLIO_CHIAPPERA 1991 1999
HSD_IT_PIE_CN_ACCEGLIO_COLLET 2005 2023
HSD_IT_PIE_CN_ACCEGLIO_SARETTO 1991 2017
HSD_IT_PIE_CN_ARGENTERA 1997 2023
HSD_IT_PIE_CN_BELLINO_RIBIERA 1993 2007
HSD_IT_PIE_CN_BOVES 2023 2023
HSD_IT_PIE_CN_BRA 1996 2023
HSD_IT_PIE_CN_BRIGA_ALTA_UPEGA 1991 1998
HSD_IT_PIE_CN_CANOSIO_CAPOLUOGO 1991 2008
HSD_IT_PIE_CN_CASTELMAGNO 1997 2023
HSD_IT_PIE_CN_CASTELMAGNO_CHIAPPI 1991 2022
HSD_IT_PIE_CN_COLLE_DELL_AGNELLO 2005 2023
HSD_IT_PIE_CN_COLLE_LOMBARDA 1991 2023
HSD_IT_PIE_CN_CRISSOLO-BORGATA_SERRE 1991 2022
HSD_IT_PIE_CN_CUNEO_CASCINA_VECCHIA 2003 2023
HSD_IT_PIE_CN_DIGA_DEL_CHIOTAS 2002 2023
HSD_IT_PIE_CN_ELVA 2002 2023
HSD_IT_PIE_CN_ELVA_B_TA_CLARI 2004 2010
HSD_IT_PIE_CN_ELVA_B_TA_MEIRA 1991 2003
HSD_IT_PIE_CN_ENTRACQUE_CASERMETTE 2002 2022
HSD_IT_PIE_CN_ENTRACQUE_CHIOTAS 1991 2022
HSD_IT_PIE_CN_ENTRACQUE_LAGO_PIASTRA 1991 2022
HSD_IT_PIE_CN_FEISOGLIO 1996 2023
HSD_IT_PIE_CN_GARDETTA 2002 2023
HSD_IT_PIE_CN_LIMONE_LIMONETTO 1991 2010
HSD_IT_PIE_CN_LIMONE_PANCANI_1875m 2007 2023
HSD_IT_PIE_CN_LIMONE_PANCANI_2008m 1991 2006
HSD_IT_PIE_CN_MONVISO_FINO_2010 2003 2010
HSD_IT_PIE_CN_ORMEA_STANTI 2021 2023
HSD_IT_PIE_CN_PAESANA 1994 2023
HSD_IT_PIE_CN_PAESANA_PRATO_GUGLIELMO 1991 1997
HSD_IT_PIE_CN_PALANFRE 2002 2023
HSD_IT_PIE_CN_PIAGGIA 2000 2023
HSD_IT_PIE_CN_PIAN_DELLE_BARACCHE 1991 2023
HSD_IT_PIE_CN_PIAN_GIASSET 2002 2023
HSD_IT_PIE_CN_PONTECH_L_CASTELLO 1991 2022
HSD_IT_PIE_CN_PONTECHIANALE 1994 2023
HSD_IT_PIE_CN_PRIERO 1994 2023
HSD_IT_PIE_CN_RIFUGIO_MONDOVI 1998 2022
HSD_IT_PIE_CN_ROBURENT_PRA 1991 2010
HSD_IT_PIE_CN_SAMPEYRE_CAPOLUOGO 1991 2022
HSD_IT_PIE_CN_VALDIERI 1994 2023
HSD_IT_PIE_CN_VALDIERI_T_GAINA 1991 2000
HSD_IT_PIE_CN_VALLE_PESIO 2009 2022
HSD_IT_PIE_CN_VERNANTE_RENETTA 1991 2016
HSD_IT_PIE_CN_VINADIO_BAGNI 1991 2010
HSD_IT_PIE_CN_VINADIO_RIOFREDDO 1991 2022
HSD_IT_PIE_SV_SETTEPANI 2004 2022
HSD_IT_PIE_TO_BARCENISIO 1995 2022
HSD_IT_PIE_TO_BARDONECCHIA_PIAN_DEL_SOLE 2004 2022
HSD_IT_PIE_TO_BARDONECCHIA_PRANUDIN 2006 2022
HSD_IT_PIE_TO_CALUSO 2010 2022
HSD_IT_PIE_TO_CAMINI_FREJUS 1991 2005
HSD_IT_PIE_TO_CERESOLE_L_SERRU 1991 2022
HSD_IT_PIE_TO_CERESOLE_REALE 1991 2022
HSD_IT_PIE_TO_CERESOLE_VILLA 2000 2022
HSD_IT_PIE_TO_CHATEAU_BEAULARD 2003 2022
HSD_IT_PIE_TO_CLAVIERE 2002 2010
HSD_IT_PIE_TO_CLOT_DELLA_SOMA 1997 2022
HSD_IT_PIE_TO_COLLE_BARANT 1991 2022
HSD_IT_PIE_TO_COLLE_BERCIA 1997 2022
HSD_IT_PIE_TO_COLLERETTO 2000 2022
HSD_IT_PIE_TO_FORNO_ALPI_GRAIE 1998 2022
HSD_IT_PIE_TO_GRANGE_MARTINA 2007 2022
HSD_IT_PIE_TO_LAGO_AGNEL 1997 2022
HSD_IT_PIE_TO_LAGO_DI_VALSOERA 1991 2010
