name year los_HS los_MOD
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2001 155 81
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2002 57 25
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2003 115 35
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2004 154 56
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2005 127 9
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2006 139 54
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2007 95 14
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2009 143 80
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2010 137 45
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2011 139 51
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2012 120 19
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2013 148 27
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2014 147 89
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2015 82 45
HSD_IT_BZ_Alliz_Maso_Strimo_Osservatore 2016 76 0
HSD_IT_BZ_Bronzolo_Osservatore 2003 7 10
HSD_IT_BZ_Bronzolo_Osservatore 2004 12 26
HSD_IT_BZ_Bronzolo_Osservatore 2005 10 18
HSD_IT_BZ_Bronzolo_Osservatore 2008 1 1
HSD_IT_BZ_Bronzolo_Osservatore 2012 2 0
HSD_IT_BZ_Bronzolo_Osservatore 2015 2 2
HSD_IT_BZ_Bronzolo_Osservatore 2016 2 3
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2003 6 0
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2004 63 9
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2007 7 2
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2008 23 2
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2009 106 30
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2011 53 0
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2012 14 4
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2013 83 13
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2015 9 3
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2016 17 0
HSD_IT_BZ_Corona_Cortaccia_Osservatore 2017 10 0
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2005 107 25
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2006 128 102
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2007 27 6
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2008 70 42
HSD_IT_BZ_Favogna_di_sotto_Osservatore 2012 78 27
HSD_IT_BZ_Maia_Alta_Osservatore 2001 12 6
HSD_IT_BZ_Maia_Alta_Osservatore 2003 15 4
HSD_IT_BZ_Maia_Alta_Osservatore 2004 7 8
HSD_IT_BZ_Maia_Alta_Osservatore 2005 39 10
HSD_IT_BZ_Maia_Alta_Osservatore 2006 89 27
HSD_IT_BZ_Maia_Alta_Osservatore 2008 1 0
HSD_IT_BZ_Maia_Alta_Osservatore 2009 52 26
HSD_IT_BZ_Maia_Alta_Osservatore 2010 14 7
HSD_IT_BZ_Maia_Alta_Osservatore 2011 11 0
HSD_IT_BZ_Maia_Alta_Osservatore 2012 0 0
HSD_IT_BZ_Maia_Alta_Osservatore 2013 9 8
HSD_IT_BZ_Maia_Alta_Osservatore 2014 11 4
HSD_IT_BZ_Maia_Alta_Osservatore 2015 1 0
HSD_IT_BZ_Maia_Alta_Osservatore 2016 5 3
HSD_IT_BZ_Maia_Alta_Osservatore 2017 1 0
HSD_IT_BZ_Maia_Alta_Osservatore 2018 11 0
HSD_IT_BZ_Maia_Alta_Osservatore 2019 15 10
HSD_IT_FVG_Casetta_in_Canada 2008 60 1
HSD_IT_FVG_Casetta_in_Canada 2010 94 45
HSD_IT_FVG_Casetta_in_Canada 2012 29 6
HSD_IT_FVG_Casetta_in_Canada 2013 121 39
HSD_IT_FVG_Casetta_in_Canada 2015 67 13
HSD_IT_FVG_Casetta_in_Canada 2016 73 49
HSD_IT_FVG_Casetta_in_Canada 2017 31 5
HSD_IT_PIE_BI_GRAGLIA 2012 60 25
HSD_IT_PIE_BI_GRAGLIA 2013 93 15
HSD_IT_PIE_BI_GRAGLIA 2014 113 18
HSD_IT_PIE_BI_GRAGLIA 2015 69 22
HSD_IT_PIE_BI_GRAGLIA 2016 20 0
HSD_IT_PIE_BI_GRAGLIA 2017 35 0
HSD_IT_PIE_BI_GRAGLIA 2018 85 14
HSD_IT_PIE_BI_GRAGLIA 2019 41 0
HSD_IT_PIE_BI_GRAGLIA 2020 22 0
HSD_IT_PIE_BI_GRAGLIA 2021 87 25
HSD_IT_PIE_BI_GRAGLIA 2022 34 3
HSD_IT_PIE_BI_GRAGLIA 2023 51 0
HSD_IT_PIE_CN_PAESANA 2001 110 39
HSD_IT_PIE_CN_PAESANA 2002 80 45
HSD_IT_PIE_CN_PAESANA 2003 97 18
HSD_IT_PIE_CN_PAESANA 2004 160 65
HSD_IT_PIE_CN_PAESANA 2006 131 56
HSD_IT_PIE_CN_PAESANA 2007 56 1
HSD_IT_PIE_CN_PAESANA 2008 99 29
HSD_IT_PIE_CN_PAESANA 2009 143 88
HSD_IT_PIE_CN_PAESANA 2010 147 94
HSD_IT_PIE_CN_PAESANA 2011 122 52
HSD_IT_PIE_CN_PAESANA 2012 46 24
HSD_IT_PIE_CN_PAESANA 2013 86 34
HSD_IT_PIE_CN_PAESANA 2014 111 38
HSD_IT_PIE_CN_PAESANA 2015 80 39
HSD_IT_PIE_CN_PAESANA 2016 56 27
HSD_IT_PIE_CN_PAESANA 2017 90 4
HSD_IT_PIE_CN_PAESANA 2019 32 11
HSD_IT_PIE_CN_PAESANA 2020 47 4
HSD_IT_PIE_CN_PAESANA 2021 115 46
HSD_IT_PIE_CN_PAESANA 2022 19 17
HSD_IT_PIE_CN_PAESANA 2023 86 46
HSD_IT_PIE_CN_VALLE_PESIO_MAN 2012 54 35
HSD_IT_PIE_CN_VALLE_PESIO_MAN 2014 140 76
HSD_IT_PIE_CN_VALLE_PESIO_MAN 2015 98 45
HSD_IT_PIE_CN_VALLE_PESIO_MAN 2016 75 28
HSD_IT_PIE_CN_VALLE_PESIO_MAN 2017 88 12
HSD_IT_PIE_CN_VALLE_PESIO_MAN 2018 166 63
HSD_IT_PIE_CN_VALLE_PESIO_MAN 2019 87 21
HSD_IT_PIE_TO_BARCENISIO 2001 138 68
HSD_IT_PIE_TO_BARCENISIO 2002 63 36
HSD_IT_PIE_TO_BARCENISIO 2003 106 40
HSD_IT_PIE_TO_BARCENISIO 2004 156 74
HSD_IT_PIE_TO_BARCENISIO 2005 109 21
HSD_IT_PIE_TO_BARCENISIO 2006 137 59
HSD_IT_PIE_TO_BARCENISIO 2008 111 23
HSD_IT_PIE_TO_BARCENISIO 2009 144 109
HSD_IT_PIE_TO_BARCENISIO 2010 138 100
HSD_IT_PIE_TO_BARCENISIO 2011 135 76
HSD_IT_PIE_TO_BARCENISIO 2012 79 28
HSD_IT_PIE_TO_BARCENISIO 2014 130 69
HSD_IT_PIE_TO_BARCENISIO 2015 83 52
HSD_IT_PIE_TO_BARCENISIO 2016 74 59
HSD_IT_PIE_TO_BARCENISIO 2017 96 23
HSD_IT_PIE_TO_BARCENISIO 2018 151 85
HSD_IT_PIE_TO_BARCENISIO 2019 57 18
HSD_IT_PIE_TO_BARCENISIO 2020 122 30
HSD_IT_PIE_TO_BARCENISIO 2021 94 40
HSD_IT_PIE_TO_BARCENISIO 2022 45 5
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2001 29 13
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2002 66 9
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2003 44 12
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2004 43 18
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2005 42 8
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2006 48 5
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2008 45 5
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2009 102 68
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2010 78 19
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2011 45 8
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2012 36 16
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2013 44 8
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2014 24 10
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2015 36 11
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2016 17 2
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2017 19 0
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2018 48 19
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2019 19 0
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2020 9 6
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2021 50 11
HSD_IT_PIE_TO_LOCANA_ROSONE_MAN 2022 15 0
HSD_IT_PIE_TO_ROSONE 2006 55 5
HSD_IT_PIE_TO_ROSONE 2007 0 0
HSD_IT_PIE_TO_ROSONE 2008 47 5
HSD_IT_PIE_TO_ROSONE 2009 107 68
HSD_IT_PIE_TO_ROSONE 2010 97 19
HSD_IT_PIE_TO_ROSONE 2011 66 8
HSD_IT_PIE_TO_ROSONE 2012 38 16
HSD_IT_PIE_TO_ROSONE 2013 40 8
HSD_IT_PIE_TO_ROSONE 2014 36 10
HSD_IT_PIE_TO_ROSONE 2015 54 11
HSD_IT_PIE_TO_ROSONE 2016 23 2
HSD_IT_PIE_TO_ROSONE 2017 40 0
HSD_IT_PIE_TO_ROSONE 2018 56 19
HSD_IT_PIE_TO_ROSONE 2019 37 0
HSD_IT_PIE_TO_ROSONE 2020 14 6
HSD_IT_PIE_TO_ROSONE 2021 54 11
HSD_IT_PIE_TO_ROSONE 2022 31 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2006 14 3
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2008 2 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2009 45 11
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2012 27 18
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2013 16 1
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2014 3 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2015 4 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2016 0 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2017 3 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2018 10 3
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2019 4 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2020 0 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2021 3 0
HSD_IT_PIE_TO_TORINO_GIARDINI_REALI 2022 4 2
