years max_swe fap_swe
1992 5.63708685231785 5.03319381457458
1993 5.70881610679984 4.26747726671724
1994 8.29651026853199 5.34292283393272
1995 5.93074462067163 5.43320083957507
1996 6.15365163460307 4.44453702778356
1997 7.60975072560981 5.54457809653616
1998 5.93057662066111 3.72858398303646
1999 5.56035309752224 5.05319981582501
2000 4.70769104423074 3.768907235557
2001 11.1595221974696 10.9763254360198
2002 3.71544598221539 2.9094634318414
2003 6.50545865659163 5.17070507316913
2004 8.73230704576845 7.09696519356039
2005 3.46148746634298 2.33001514562587
2006 5.08272356767026 4.04504450281527
2007 3.56997797312372 3.47367071710464
2008 5.69604560600282 4.55639228477455
2009 12.6207312887932 11.3175177073445
2010 7.58659897416273 6.58471791154493
2011 7.52696597043542 6.69152241822024
2012 4.85657705353628 3.38742796171422
2013 6.9179829323739 6.75482317217652
2014 12.031496001967 9.79133711195835
2015 7.51181346948846 6.9952489372031
2016 4.94712105919523 4.04859875303748
2017 4.98745131171577 4.32506002031625
2018 9.04820031551253 8.19960976247563
2019 6.10197663137339 4.36643202290203
2020 7.91366874460484 7.2593814537113
2021 6.58497291156097 4.97912256119529
