name year month day tmin tmax
HSD_AT_100453 1953 4 15 -0.4 -0.8
HSD_AT_100503 1953 4 15 0.6 0.5
HSD_AT_100503 2015 10 18 5.8 5.6
HSD_AT_100503 2022 8 19 15.5 15.3
HSD_AT_100628 1951 5 11 4.4 4.3
HSD_AT_100628 1953 4 15 -0.8 -1.8
HSD_AT_100628 1959 4 18 5 4.5
HSD_AT_100628 1967 3 19 -1.5 -1.6
HSD_AT_100628 1967 4 4 0.7 0.2
HSD_AT_100628 1970 8 24 8.1 7.6
HSD_AT_100628 1972 2 10 1.6 1.2
HSD_AT_100628 1975 8 24 7.6 7.5
HSD_AT_100628 1977 4 9 -3.3 -3.6
HSD_AT_100628 2014 10 23 1.4 1.3
HSD_AT_100727 1951 5 11 5.8 5.7
HSD_AT_100727 1953 4 15 0.3 -0.6
HSD_AT_100727 1953 12 29 -1 -1.5
HSD_AT_100727 1959 4 18 6.2 5.8
HSD_AT_100727 1966 3 13 -1.4 -1.5
HSD_AT_100727 1967 3 19 -0.3 -0.8
HSD_AT_100727 1967 3 20 0.2 -0.2
HSD_AT_100727 1967 4 4 1.9 1.6
HSD_AT_100727 1969 2 25 1.6 1.5
HSD_AT_100727 1970 8 24 9.3 8.9
HSD_AT_100727 1972 2 10 2.6 1.8
HSD_AT_100727 1975 3 30 -1.1 -1.2
HSD_AT_100727 1977 4 9 -2.1 -2.3
HSD_AT_100727 1979 2 18 -0.6 -0.8
HSD_AT_100727 1985 3 8 1.5 1
HSD_AT_100727 1989 2 21 4.5 4.4
HSD_AT_100727 1998 10 19 6.4 6.3
HSD_AT_100727 2002 10 12 7.4 7.3
HSD_AT_100727 2009 10 17 1.4 1.2
HSD_AT_100727 2011 2 21 -0.7 -0.8
HSD_AT_100727 2014 10 23 3.2 2.7
HSD_AT_100727 2015 10 18 5.1 5
HSD_AT_100727 2022 8 19 14.7 14.6
HSD_AT_100727 2025 1 27 2.6 2.5
HSD_AT_100792 1950 11 5 0 -0.2
HSD_AT_100792 1953 4 15 0.2 -0.2
HSD_AT_100792 1953 12 29 -1.1 -1.6
HSD_AT_100792 1972 2 10 2.4 1.8
HSD_AT_100792 2022 8 19 14.8 14.6
HSD_AT_100792 2025 1 27 2.6 2.4
HSD_AT_100875 1972 2 10 2.7 2.4
HSD_AT_100933 1972 2 10 3.4 3.3
HSD_AT_100933 2014 11 30 2.9 2.6
HSD_AT_100933 2015 10 18 6.1 5.8
HSD_AT_100933 2019 10 30 7.1 6.7
HSD_AT_100974 1950 11 5 -0.1 -0.3
HSD_AT_100974 1951 2 6 -0.1 -0.3
HSD_AT_100974 1951 5 11 5.2 5
HSD_AT_100974 1953 4 15 0 -1.2
HSD_AT_100974 1953 12 29 -1.2 -1.6
HSD_AT_100974 1958 10 20 1.3 1.2
HSD_AT_100974 1959 4 18 5.9 5.3
HSD_AT_100974 1959 10 29 0.2 0
HSD_AT_100974 1967 3 19 -0.6 -1.3
HSD_AT_100974 1967 3 20 -0.2 -0.6
HSD_AT_100974 1967 4 4 1.5 1
HSD_AT_100974 1969 2 25 1.2 1.1
HSD_AT_100974 1970 8 24 9 8.5
HSD_AT_100974 1972 2 10 2.2 1.4
HSD_AT_100974 1975 3 30 -1.6 -1.7
HSD_AT_100974 1975 8 24 8.4 8.3
HSD_AT_100974 1977 4 9 -2.7 -2.9
HSD_AT_100974 1979 2 18 -1.1 -1.2
HSD_AT_100974 1979 10 17 10.1 9.9
HSD_AT_100974 1985 3 8 1 0.6
HSD_AT_100974 1998 10 19 6.3 6.1
HSD_AT_100974 2002 10 12 7.2 7.1
HSD_AT_100974 2004 3 24 -1 -1.2
HSD_AT_100974 2013 9 30 9.3 9
HSD_AT_100974 2015 10 18 5.1 4.7
HSD_AT_100974 2019 10 30 5.2 5.1
HSD_AT_100974 2022 8 19 14.4 14
HSD_AT_102467 2006 1 2 -0.4 -0.6
HSD_AT_102467 2006 1 3 -0.1 -1
HSD_AT_102467 2018 11 27 1.4 1.3
HSD_AT_102475 2006 1 3 -1.1 -1.2
HSD_AT_102517 1964 12 19 0.8 0.6
HSD_AT_102517 2006 1 3 -0.9 -1.2
HSD_AT_102749 2024 2 9 4.3 4.2
HSD_AT_102749 2024 2 22 2.7 2.6
HSD_AT_103051 1953 4 15 -3.1 -3.4
HSD_AT_103085 1953 4 15 -6.8 -7.8
HSD_AT_103085 1967 4 10 -3.5 -3.9
HSD_AT_103085 1970 8 30 6.1 5.4
HSD_AT_103085 1971 5 1 -0.7 -1.1
HSD_AT_103119 2024 2 22 3.9 3.7
HSD_AT_103176 1957 5 28 3.7 3.5
HSD_AT_103176 1970 3 4 -5.4 -5.7
HSD_AT_103176 1990 3 29 2.3 2.2
HSD_AT_103176 1991 8 2 11.7 11.5
HSD_AT_103176 1995 3 21 -2 -2.1
HSD_AT_103176 1996 5 12 9.1 9
HSD_AT_103176 2002 3 24 -2.4 -2.6
HSD_AT_103176 2005 3 9 -1.8 -2.3
HSD_AT_103176 2006 1 3 -0.6 -1.6
HSD_AT_103176 2006 1 4 -2.1 -2.5
HSD_AT_103176 2007 10 22 -0.4 -0.7
HSD_AT_103176 2009 2 23 1 0.6
HSD_AT_103176 2009 2 24 -0.1 -0.4
HSD_AT_103176 2009 3 6 0.8 0.5
HSD_AT_103176 2010 2 6 1.5 1.2
HSD_AT_103176 2012 1 9 1.5 1.3
HSD_AT_103176 2013 4 7 1.1 0.9
HSD_AT_103176 2015 1 24 -0.1 -0.4
HSD_AT_103176 2016 3 12 2.4 2.2
HSD_AT_103176 2016 9 19 11.1 11
HSD_AT_103176 2018 11 27 0.8 0.6
HSD_AT_103176 2018 12 31 1.6 1.5
HSD_AT_103176 2019 1 6 1.6 0.9
HSD_AT_103176 2019 1 7 1.4 0.9
HSD_AT_103176 2020 6 15 11.7 11.6
HSD_AT_103176 2021 7 18 15.6 15.3
HSD_AT_103176 2024 1 6 3.1 2.8
HSD_AT_103176 2024 1 7 2.1 1.8
HSD_AT_103176 2024 2 9 3.9 3.6
HSD_AT_103176 2025 1 7 2.6 1.9
HSD_AT_103176 2025 1 27 3.9 3.8
HSD_AT_103192 1951 2 7 -3.3 -4
HSD_AT_103192 1952 4 24 4 3.7
HSD_AT_103192 1952 4 26 3.5 2.8
HSD_AT_103192 1953 4 15 -3 -4.1
HSD_AT_103192 1953 8 3 6.9 6.8
HSD_AT_103192 1954 5 6 -0.4 -1.4
HSD_AT_103192 1955 3 29 -3.6 -3.9
HSD_AT_103192 1960 1 28 1.3 1.2
HSD_AT_103192 1960 3 11 -3.4 -3.7
HSD_AT_103192 1960 12 10 -1.2 -1.3
HSD_AT_103192 1962 1 1 0.1 -0.3
HSD_AT_103192 1962 1 2 1.1 0.3
HSD_AT_103192 1967 4 9 -1 -1.3
HSD_AT_103192 1970 3 4 -8.9 -9
HSD_AT_103192 1970 8 30 9.2 8.7
HSD_AT_103192 1970 12 28 -6 -6.1
HSD_AT_103192 1971 2 1 -2 -2.5
HSD_AT_103192 1972 4 13 -1.5 -2.4
HSD_AT_103192 1972 4 17 -2.5 -2.9
HSD_AT_103192 1972 10 28 1.9 1.2
HSD_AT_103192 1989 7 4 5.7 5.3
HSD_AT_103192 1997 6 26 6.1 5.7
HSD_AT_103192 2000 8 4 8.8 7.5
HSD_AT_103192 2000 10 7 -0.3 -0.5
HSD_AT_103192 2001 6 10 6.1 5.5
HSD_AT_103192 2002 3 24 -6.4 -7.2
HSD_AT_103192 2006 1 2 -4.9 -5
HSD_AT_103192 2007 12 12 -1.9 -2.3
HSD_AT_103192 2009 1 20 -2 -2.2
HSD_AT_103192 2019 1 6 -3.1 -3.7
HSD_AT_103192 2023 1 21 -8.4 -8.5
HSD_AT_103580 1983 12 22 1.1 0.5
HSD_AT_103622 1953 12 21 -1.3 -1.8
HSD_AT_103622 1964 12 19 0.6 0.5
HSD_AT_103622 1983 12 22 1.3 0.6
HSD_AT_103655 1953 12 21 -1.1 -1.6
HSD_AT_103689 1953 12 21 -1.1 -1.4
HSD_AT_103697 1953 12 21 -0.9 -1.3
HSD_AT_103697 1983 12 22 1.1 1
HSD_AT_103770 1952 12 3 -0.5 -1.1
HSD_AT_103770 1953 12 21 -0.9 -1.1
HSD_AT_103770 1956 1 31 -10.7 -10.9
HSD_AT_103820 1951 12 11 0.7 0.3
HSD_AT_103820 1951 12 28 2.1 1.7
HSD_AT_103895 2025 2 26 4.2 4.1
HSD_AT_104000 2025 1 7 4.2 4
HSD_AT_104000 2025 2 26 4.6 4.4
HSD_AT_104018 2025 1 7 4.2 4
HSD_AT_104018 2025 2 26 4.8 4.6
HSD_AT_104174 1959 8 13 12.1 11.9
HSD_AT_104356 1957 12 17 -1.5 -1.8
HSD_AT_104356 2024 1 6 2.9 2.8
HSD_AT_104356 2024 1 7 1.9 1.8
HSD_AT_105254 1950 12 9 1 0.6
HSD_AT_105254 1951 12 11 0.3 -0.2
HSD_AT_105254 1952 11 10 -0.5 -0.6
HSD_AT_105254 1952 11 14 -2.9 -3.1
HSD_AT_105254 1953 12 24 0.4 0.3
HSD_AT_105254 2024 2 10 5.5 5.4
HSD_AT_105908 1953 12 21 -0.9 -1.1
HSD_AT_105940 1953 12 21 -0.9 -1
HSD_AT_106690 1958 2 7 -1.8 -1.9
HSD_AT_106690 1958 3 3 -0.4 -0.8
HSD_AT_106690 1959 7 16 12.9 12.7
HSD_AT_106690 1959 8 13 13.6 13
HSD_AT_106690 1963 4 2 0.6 0.4
