name lon lat ele year month day value
HSD_AT_114025 14.4925 46.85028 594 1968 6 9 -18.2
HSD_AT_114066 14.53389 46.85056 630 1968 6 9 -17.4
HSD_AT_114124 14.11 46.68722 581 1968 6 9 -12.8
HSD_AT_114165 14.27056 46.80416 1096 1968 6 9 -14.1
HSD_AT_114215 14.16556 46.59278 516 1968 6 9 -12.9
HSD_AT_114249 14.60167 46.60555 462 1968 6 9 -9.9
HSD_AT_114256 14.57333 46.67306 463 1968 6 9 -14.1
HSD_AT_114272 14.61722 46.74417 1150 1968 6 9 -11.1
HSD_AT_114298 14.74778 47.00722 791 1966 7 19 -32.7
HSD_AT_114298 14.74778 47.00722 791 1968 6 9 -19.6
HSD_AT_114306 14.803112 46.927472 790 1966 7 19 -21.1
HSD_AT_114306 14.803112 46.927472 790 1968 6 9 -20.1
HSD_AT_114561 14.31861 46.61278 442 1968 6 9 -12.8
HSD_AT_114587 14.279971 46.974665 734 1966 7 19 -5
HSD_AT_114603 14.557885 46.921649 1055 1966 7 19 -14.6
HSD_AT_114603 14.557885 46.921649 1055 1968 6 9 -17.8
HSD_AT_114629 14.00222 46.61722 535 1968 6 9 -12.3
HSD_AT_114702 14.82639 46.82778 461 1968 6 9 -19.8
HSD_AT_114777 14.33111 46.73444 490 1968 6 9 -15.6
HSD_AT_114876 14.94056 46.64111 348 1968 6 9 -8.5
HSD_IT_FVG_Aupa 13.299883 46.505177 900 1971 8 12 -0.9
HSD_IT_FVG_Lussari 13.52 46.481944 1770 2006 4 6 -2
HSD_IT_FVG_Pontebba 13.300555 46.497222 545 1971 8 12 -4
HSD_IT_FVG_Rutte_Piccolo 13.5992 46.4956 800 2006 4 6 -0.3
HSD_IT_FVG_Val_Saisera 13.482222 46.46 1000 2006 4 6 -1.1
